year,district,district_id,street,city,state,zip,gradespan,enrollment,hdphone,url,supername,chair,teacher_count,district_alt,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,e_pct_abc,e_pct_ab,e_pct_cd,e_pct_f,m_pct_abc,m_pct_ab,m_pct_cd,m_pct_f,sc_pct_abc,sc_pct_ab,sc_pct_cd,sc_pct_f,act_avg_english_score,act_avg_reading_score,act_avg_math_score,act_avg_science_score,act_avg_writing_score,act_avg_composite_score,pct_act,pct_college,pct_career,pct_cte,pct_wbl,pct_car_rdy,pct_met_prog,gpercent_overall,gpercent_race_w,gpercent_race_b,gpercent_race_h,gpercent_race_i,gpercent_race_a,dropout_rate_curr_yr,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,prime_instruct_time_curr_yr,gifted_pct_curr_yr,pct78hs_credit_curr_yr,princ_super_yrs_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate_x,studentsin_poverty_pct_curr_yr,expendfor_instruct_pct_curr_yr,admin_salary_curr_yr,total_ppe_curr_yr,chronic_absenteeism_rate_y,n_total_di,n_total_el,par_child_feels_safe,par_tch_stop_bully,par_num_responses,tch_i_feel_safe,tch_rules_enforced,tch_num_responses,ocr_firearm_num,ocr_rape,ocr_sex_assault,ocr_robw_weapon,ocr_robw_firearm,ocr_rob_no_weapon,ocr_phys_attachw_weapon,ocr_phys_attackw_firearm,ocr_phys_attach_no_weapon,ocr_threat_phys_attachw_weapon,ocr_threat_phys_attackw_firearm,ocr_threat_phys_attach_no_weapon,ocr_in_school_suspension,ocr_out_of_school_suspension,ocr_expelled,ocr_arrests_referrals,ocr_bully_harass,ocr_violent_all,ocr_nonviolent_all,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,gender_missing,schoolid,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,pct_el,pct_non_el,pct_disabilities,pct_non_di
2019,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,16.3,53.6,19.5,50.8,14.1,NA,64.3,18.5,6.1000000000000005,32.1,61.7,21,NA,43.2,53.1,8.3,4.8,29.5,78.6,12.5,15.1,14.8,14.2,4.3,14.3,4.5,12.1,48.5,19.7,0,31.8,NA,76.543209877,-1,76.25,NA,NA,NA,6.4,83.4,50.6,NA,50177,86.6,2.2,NA,1,100,100,4.3,24.1,94.19,45.1,79864,14316,NA,NA,NA,72.30000000000001,66.3,93,71,84,69,2,0,0,0,0,0,0,0,0,0,0,33,253,341,2,0,26,0,33,1119,564,555,1047,38,0,NA,34,50.402144772117964,49.597855227882036,0,93.5656836461126,3.395889186773905,3.038427167113494,NA,NA,NA,NA
2019,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,16.3,53.6,19.5,50.8,14.1,NA,64.3,18.5,6.1000000000000005,32.1,61.7,21,NA,43.2,53.1,8.3,4.8,29.5,78.6,12.5,15.1,14.8,14.2,4.3,14.3,4.5,12.1,48.5,19.7,0,31.8,NA,76.543209877,-1,76.25,NA,NA,NA,6.4,83.4,50.6,NA,50177,86.6,2.2,NA,1,100,100,4.3,24.1,94.19,45.1,79864,14316,NA,NA,NA,72.30000000000001,66.3,93,71,84,69,2,0,0,0,0,0,0,0,0,0,0,33,253,341,2,0,26,0,33,1119,564,555,1047,38,0,NA,34,50.402144772117964,49.597855227882036,0,93.5656836461126,3.395889186773905,3.038427167113494,NA,NA,NA,NA
2021,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,18.3,59.7,12.7,68.9,13.9,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,14,36.6,12.9,0,26.9,NA,76.344086022,-1,76.136363636,-1,NA,-1,3.4,76.3,53.4005037783375,5.6,50411.5142857143,NA,3,4.4,3,100,100,2.7,11.2,93.9,43,87930,NA,11.2,121,10,84.8,67.1,79,92.8,88.5,88.5,0,0,0,0,0,0,0,0,0,0,0,1,22,51,0,0,2,0,1,1071,539,532,991,41,0,NA,39,50.326797385620914,49.673202614379086,0,92.53034547152194,3.828197945845005,3.6414565826330536,0.9337068160597572,99.06629318394025,11.297852474323063,88.70214752567693
2017,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,83.516483516,-1,84.090909091,-1,NA,NA,3.8,NA,57.5,NA,46268,NA,2.4,10.27027027,0,NA,NA,5.8,NA,92,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226,595,631,1160,35,NA,NA,31,48.531810766721044,51.46818923327896,NA,94.61663947797716,2.8548123980424145,2.528548123980424,NA,NA,NA,NA
2020,Allendale County Schools,0301999,3249 Allendale-Fairfax Hwy,Fairfax,SC,29827,PK-12,1071,8035844603,https://www.acs.k12.sc.us/,Dr. Margaret Gilmore,Not applicable,79,Allendale 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,87.341772152,-1,88.157894737,-1,NA,NA,5,79.6,54.4,0,51385,NA,2.7,9.4,2,100,100,3,21.3,95,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,17,165,242,1,0,13,0,17,1089,550,539,1016,33,0,NA,40,50.505050505050505,49.494949494949495,0,93.29660238751147,3.0303030303030303,3.6730945821854912,NA,NA,NA,NA
2018,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,54.2,13.4,62.2,12.9,59,NA,15.4,63.3,38.4,39.3,22.3,63,42.2,37.6,20.2,67.6,50.7,33.7,21.9,17.6,19,18.4,18.8,5.8,18.6,32.4,42.3,73.3,15.9,0.1,67.3,60.9,90.170380079,91.068580542,85.915492958,80.434782609,-1,94.117647059,0.6,91.5,61.2,NA,49754,88.1,23,NA,5,100,100,0.9,12.7,50.03,59,94324,NA,12.7,NA,NA,90.5,73.8,794,94.5,96.2,96.2,0,0,0,0,0,0,0,0,2,0,0,63,NA,NA,NA,NA,NA,0,65,10082,4876,5206,629,8179,0,0401999,1274,48.363419956357866,51.636580043642134,0,6.238841499702439,81.12477682999405,12.636381670303512,NA,NA,NA,NA
2019,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,59.7,14.2,64.5,11.2,62.7,NA,15.1,68.1,44,38.5,17.5,66.1,46.8,31.9,21.3,63.4,48,28.1,24.1,19.1,20.3,19.8,20.2,6,20,21.3,46.3,77.2,12.6,2.3,69.8,68.2,91.856287425,92.219020173,87.301587302,91.525423729,-1,94.117647059,1.1,91,60.7,NA,49547,88.8,22.8,NA,2,100,100,0.9,10.8,50.69,58.8,97994,7728,NA,NA,NA,93.69999999999999,76.6,675,86.5,97.4,550,2,0,1,0,0,0,0,0,2,0,0,60,1032,481,7,4,30,1,62,10167,4952,5215,647,8146,0,NA,1374,48.706599783613655,51.29340021638635,0,6.36372577948264,80.12196321432084,13.51431100619652,NA,NA,NA,NA
2019,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,59.7,14.2,64.5,11.2,62.7,NA,15.1,68.1,44,38.5,17.5,66.1,46.8,31.9,21.3,63.4,48,28.1,24.1,19.1,20.3,19.8,20.2,6,20,21.3,46.3,77.2,12.6,2.3,69.8,68.2,91.856287425,92.219020173,87.301587302,91.525423729,-1,94.117647059,1.1,91,60.7,NA,49547,88.8,22.8,NA,2,100,100,0.9,10.8,50.69,58.8,97994,7728,NA,NA,NA,93.69999999999999,76.6,675,86.5,97.4,550,2,0,1,0,0,0,0,0,2,0,0,60,1032,481,7,4,30,1,62,10167,4952,5215,647,8146,0,NA,1374,48.706599783613655,51.29340021638635,0,6.36372577948264,80.12196321432084,13.51431100619652,NA,NA,NA,NA
2021,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,56.2,14.8,56.6,15.8,55.3,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,37.4,62.3,28.4,1.9,50.3,30.1,93.252361673,93.08681672,100,89.583333333,-1,90,0.9,91.3,64.9899985363712,17.9,52081.7300364299,NA,24.2,41.8,4,100,100,0.8,5.1,49.7,59.7,100486,NA,5.1,1608,700,89.7,62.5,844,98.1,94.5,94.5,0,0,0,0,0,0,0,0,4,1,0,34,794,470,3,14,17,1,38,10187,4998,5189,698,7936,0,NA,1553,49.06253067635221,50.93746932364779,0,6.851870030430941,77.90320997349563,15.244919996073428,6.919731119019374,93.08026888098063,15.895610913404507,84.10438908659549
2017,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,91.854636591,92.75147929,88.524590164,83.720930233,-1,91.666666667,1.6,NA,64.3,NA,50179,NA,20.1,20.975609756,4,NA,NA,0.9,NA,48.8,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9949,4797,5152,878,8181,NA,NA,890,48.2159010955875,51.7840989044125,NA,8.825007538446075,82.22936978590813,8.945622675645794,NA,NA,NA,NA
2020,Anderson School District One,0401999,801 N. Hamilton Street,Williamston,SC,29697,PK-12,10116,8648477344,https://www.anderson1.org,Mr. G. Robbie Binnicker,Mrs. Nancy Upton,615,Anderson 01,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,91.644204852,91.485809683,94.202898551,90.196078431,80,100,1.6,90.8,60.5,9.1,51808,NA,23.4,73.7,2,100,100,0.9,12.7,50.5,60.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,4,0,0,37,697,373,6,5,22,0,41,10238,4979,5259,659,8129,0,NA,1450,48.63254541902715,51.36745458097285,0,6.4368040632936125,79.40027349091619,14.162922445790194,NA,NA,NA,NA
2018,Anderson School District Two,0402999,10990 BHP Hwy,Honea Path,SC,29654,PK-12,3404,864-369-7364,http://www.anderson2.org,Donald Andrews,Jimmy Ouzts,224,Anderson 02,D,39.2,25.3,42,25.6,43.7,NA,26.5,52.9,27.599999999999998,42.400000000000006,30,58.4,39.599999999999994,35.5,24.9,59.7,46.8,29.7,31.7,17,18.6,18.1,18.9,6.1,18.3,30,39.2,73.4,20.7,0,68.4,36.1,84.300341297,86.026200873,78.947368421,-1,NA,-1,0.6,87.9,48.5,NA,46839,92.3,30.7,NA,5,100,100,0.8,10.2,62.28,55.2,80424,NA,10.2,NA,NA,82.4,60.5,283,86.9,96.1,96.1,0,0,1,0,0,0,0,0,3,0,0,50,NA,NA,NA,NA,NA,1,53,3791,1896,1895,556,2916,0,0402999,319,50.0131891321551,49.986810867844895,0,14.666314956475865,76.91901872856765,8.414666314956476,NA,NA,NA,NA
2019,Anderson School District Two,0402999,10990 BHP Hwy,Honea Path,SC,29654,PK-12,3404,864-369-7364,http://www.anderson2.org,Donald Andrews,Jimmy Ouzts,224,Anderson 02,D,45.1,25.3,48.3,20.5,53.3,NA,21.9,66.3,39.6,44.4,16,64.6,40.7,40,19.4,59.4,44.8,30.6,31.3,16.4,17.8,17.6,18.3,5.2,17.6,19.8,37.5,89.3,11.1,6.7,79.4,47.2,86.805555556,88.163265306,78.378378378,-1,NA,-1,2.3,86.1,46.4,NA,47606,91.2,26.5,NA,6,100,100,0.8,5.2,64.12,56.2,82894,9339,NA,NA,NA,88.1,62.8,310,88.4,98.3,243,0,1,0,0,0,0,0,0,2,1,0,48,584,364,14,3,11,2,50,3713,1868,1845,519,2849,0,NA,345,50.30972259628332,49.69027740371667,0,13.977915432265014,76.73040667923512,9.291677888499866,NA,NA,NA,NA
