district,school,district_id,street,city,state,zip,gradespan,enrollment,hdphone,url,supername,chair,teacher_count,district_alt
"Laurens County
School District
56","Laurens County School
District 56",3056999,"211 N. Broad
Street
Suite B",Clinton,SC,29325,PK-12,2827,864-833-0800,https://www.lcsd56.org/,"Dr. David C.
O'Shields",Jim Barton,194,Laurens 56
"Lee County
School District",Lee County School District,3101999,310 Roland Street,"Bishopville, South
Carolina",SC,29010,PK-12,1565,803-484-5327,www.leeschoolsk12.org,"Bernard
McDaniel, Sr.","Ms. Sylvia
Scott",85,Lee 01
"Lexington
County School
District One","Lexington County School
District One",3201999,"100 Tarrar Springs
Road
NA",Lexington,SC,29072,PK-12,27072,803-821-1000,http://www.lexdistrict1.com/,"Dr. Gregory
Little","Anne Marie
Green",1959,Lexington 01
"Lexington
School District
Two","Lexington School District
Two",3202999,715 Ninth Street,West Columbia,SC,29169,PK-12,8582,803-796-4708,www.lex2.org,"Dr. Nicolas
Wade","Christina
Rucker",636,Lexington 02
"Lexington
County School
District Three","Lexington County School
District Three",3203999,"338 West Columbia
Avenue",Batesburg-Leesville,SC,29006,PK-12,2020,(803)532-4423,www.lex3.org,"Dr. Ashley
Atkinson","Craig
Caughman",160,Lexington 03
"Lexington
School District
Four","Lexington School District
Four",3204999,607 East Fifth Street,Swansea,SC,29160,PK-12,3245,803-490-7000,https://www.lex4.org,"Robert
Maddox, Jr.,
Ed. D.",Brad Frick,224,Lexington 04
"School District
Five Of
Lexington &
Richland Count","School District Five Of
Lexington & Richland
Count",3205999,1020 Dutch Fork Rd.,Irmo,SC,29036,PK-12,16780,803-476-8000,https://www.lexrich5.org/,"Dr. Christina
S. Melton","Mrs. Jan
Hammond",1332,Lexington 05
"Mccormick
County School
District","Mccormick County School
District",3301999,821 North Mine Street,McCormick,SC,29835,PK-12,657,8648520639,http://mccormick.k12.sc.us,"Dr. Jaime
Hembree","Verteema
Chiles",51,McCormick 01
"Marion County
School District","Marion County School
District",3410999,719 N Main Street,Marion,SC,29571,PK-12,4150,843-423-1811,https://www.marion.k12.sc.us/,"Dr. Kandace
Bethea","Ogleretta
White",301,Marion 10
"Marlboro
County School
District","Marlboro County School
District",3501999,122 Broad Street,Bennettsville,SC,29512,PK-12,3667,8434794016,http://www.marlboro.k12.sc.us/,"Dr. Gregory
McCord",Larry McNeil,218,Marlboro 01
"School District
Of Newberry
County","School District Of Newberry
County",3601999,3419 Main Street,Newberry,SC,29108,PK-12,5760,8039248200,www.newberry.k12.sc.us,Jim Suber,"Lucy Ann
Meetze",447,Newberry 01
"School District
Of Oconee
County","School District Of Oconee
County",3701999,414 S. Pine St.,Walhalla,SC,29691,PK-12,10168,864-886-4400,https://www.sdoc.org/,"Dr. Michael
Thorsland","Denise
McCormick",777,Oconee 01
"Orangeburg
County School
District","Orangeburg County School
District",3809999,102 Founders Court,Orangeburg,SC,29118,PK-12,11739,803-534-5454,www.ocsdsc.org,"Dr. Shawn
Foster",Ruby Edwards,743,Orangeburg
"School District
Of Pickens
County","School District Of Pickens
County",3901999,1348 Griffin Mill Road,Easley,SC,29640,PK-12,15689,(864) 397-1000,http://www.pickens.k12.sc.us/,"Dr. Daniel B.
Merck","Mr. Shannon
Haskett",1009,Pickens 01
"Richland School
District One","Richland School District
One",4001999,1616 Richland Street,Columbia,SC,29201,PK-12,22202,8032317000,www.richlandone.org,"Dr. Craig
Witherspoon","Mr. Aaron
Bishop",1922,Richland 01
"Richland School
District Two","Richland School District
Two",4002999,763 Fashion Drive,Columbia,SC,29229,PK-12,27761,803-787-1910,www.richland2.org,"Dr. Baron R.
Davis","Mr. James
Manning",1960,Richland 02
Saluda,Saluda,4101999,"404 North Wise
Road",Saluda,SC,29138,PK-12,2315,NA,NA,"Dr. Harvey
Livingston","Dr. Kathy
Coleman",154,Saluda 01
"Spartanburg
School District
One","Spartanburg School District
One",4201999,121 Wheeler Street,Campobello,SC,29322,PK-12,5047,864-472-2846,https://www.spart1.org/,"Ronald W.
Garner, Ed. D.",Travis Sloan,351,Spartanburg 01
"Spartanburg
School District
Two","Spartanburg School District
Two",4202999,3231 Old Furnace Rd,Chesnee,SC,29323,PK-12,10459,864-578-0128,https://www.spart2.org,"Mr. Lance
Radford","Mr. Brandon
McKillop",628,Spartanburg 02
"Spartanburg
School District
Three","Spartanburg School District
Three",4203999,"3535 Clifton Glendale
Road",Spartanburg,SC,29307,PK-12,2629,864-279-6000,www.spartanburg3.org,"Mr. Kenny
Blackwood","Mr. Chris
Jolley",184,Spartanburg 03
"Spartanburg
School District
Four","Spartanburg School District
Four",4204999,"118 McEdco Road
",Woodruff,SC,29388,PK-12,2718,864-476-3186,https://www.spartanburg4.org/,"Dr. W. Rallie
Liston","Mr. Melvin
Brewton",172,Spartanburg 04
"Spartanburg
School District 5","Spartanburg School District
5",4205999,"Spartanburg School
District Five
100
North Danzler Road",Duncan,SC,29334,PK-12,9028,864-949-2350,www.spart5.net,"Dr. Randall
Gary","Mrs. Julie
McMakin",642,Spartanburg 05
"Spartanburg
County School
District Six","Spartanburg County School
District Six",4206999,1390 Cavalier Way,Roebuck,SC,29376,PK-12,11254,864-576-4212,www.spart6.org,"Dr. Darryl
Owings","Mr. Lynn
Harris",755,Spartanburg 06
"Spartanburg
School District
Seven","Spartanburg School District
Seven",4207999,"610 Dupre Drive
",Spartanburg,SC,29307,PK-12,7052,864-594-4400,www.spartanburg7.org,"Mr. Jeff
Stevens","Mr. Sanders
Lee",655,Spartanburg 07
Sumter Schools,Sumter Schools,4301999,1345 Wilson Hall Road,Sumter,SC,29151,PK-12,15586,8034696900,http://sumterschools.net/,"Dr. Penelope
Martin-Knox","Dr. Barbara R.
Jackson",935,Sumter 01
"Union County
Schools",Union County Schools,4401999,130 West Main Street,Union,SC,29379,PK-12,3814,864-429-1740,www.union.k12.sc.us,"Mr. Joey
Haney","Mr. Gene
Lipsey",269,Union 01
"Williamsburg
County School
District","Williamsburg County
School District",4501999,"500 N. Academy
Street",Kingstree,SC,29556,PK-12,3194,843-355-5571,www.wcsd.k12.sc.us,"Dr. Rose H.
Wilder",N/A,198,Williamsburg 01
"York School
District One",York School District One,4601999,1475 East Liberty St,York,SC,29745,PK-12,4889,803-684-9916,www.york.k12.sc.us,Kelly Coxe,Diane Howell,362,York 01
"Clover School
District (York 2)","Clover School District (York
2)",4602999,604 Bethel Street,Clover,SC,29710,PK-12,8372,803-810-8000,https://www.clover.k12.sc.us/,"Dr. Sheila
Quinn","Mack
McCarter",594,York 02
"Rock Hill School
District (York 3)","Rock Hill School District
(York 3)",4603999,386 E. Black St.,Rock Hill,SC,29730,PK-12,16652,803-981-1000,https://www.rock-hill.k12.sc.us/,"Dr. William
Cook",Helena Miller,1265,York 03
"Fort Mill School
District - York 4","Fort Mill School District -
York 4",4604999,2233 Deerfield Dr.,Fort Mill,SC,29715,PK-12,16883,803-548-2527,http://www.fortmillschools.org,"James N.
Epps, Jr.
Ph.D.",Kristy Spears,1225,York 04
"South Carolina
Public Charter
School District","South Carolina Public
Charter School District",4701999,1824 Barnwell 29201,Columbia,SC,29201,PK-12,15773,8039609686,sccharter.org,Chris Neeley,John Payne,1096,"SC Public Charter School District
"
"Charter Institute
At Erskine",Charter Institute At Erskine,4801999,"1201 Main Street
Ste.
300",Columbia,SC,29201,PK-12,23750,8038492465,https://erskinecharters.org/,"Cameron
Runyan","Robert
Gustafson",919,"Charter Institute at Erskine
Erskine"
"Governor's
School For
Agriculture At
John De La
Howe","Governor's School For
Agriculture At John De La
Howe",5205999,NA,NA,NA,NA,10-11,33,NA,NA,NA,NA,NA,John de la Howe
"SC School For
The Deaf And
The Blind","SC School For The Deaf
And The Blind",5207999,NA,NA,NA,NA,PK-12,173,NA,NA,NA,NA,92,SC School for the Deaf and the Blind
"SC Governor's
School For The
Arts And
Humanities","SC Governor's School For
The Arts And Humanities",5364999,15 University Street,Greenville,SC,29601,10-12,228,864-282-3777,www.scgsah.org,"Cedric
Adderley",Chad Prosser,8,"Governor's School for 
the Arts and Humanities"
"SC Governor's
School for
Science and
Mathematics","SC Governor's School for
Science and Mathematics",5395999,401 Railroad Avenue,Hartsville,SC,29550,11-12,261,843-383-3900,www.scgssm.org,"Mr. Daniel S.
Dorsel","Mr. Robert
Brown",24,Governor's School for Science and Mathematics
