district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Aiken County Public School District,Aiken 01,0201999,New Ellenton Middle Steam Magnet School,0201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,280,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,19,,33.4327747,-81.68584435000001
Aiken County Public School District,Aiken 01,0201999,North Augusta Middle School,0201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,597,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,33,,33.488933,-81.949885
Aiken County Public School District,Aiken 01,0201999,North Augusta High School,0201012,H,2000 Knobcone Avenue,North Augusta,SC,29841,9-12,1573,803-442-6100,https://www.acpsd.net/Domain/23,John Murphy,86,,33.531523,-81.969827
Aiken County Public School District,Aiken 01,0201999,Wagener-Salley High School,0201015,H,272 Main Street (South),Wagener,SC,29164,9-12,268,803-564-1100,https://www.acpsd.net/Domain/24,Rasheem L. Neloms Sr.,23,,33.64758328918455,-81.36408610181032
Aiken County Public School District,Aiken 01,0201999,Aiken Elementary School,0201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,608,8036412740,http://www.acpsd.net/AES,Cindy Hewitt,48,,33.515548,-81.736273
Aiken County Public School District,Aiken 01,0201999,Kennedy Middle School,0201017,M,274 E. Pine Log Road,Aiken,SC,29803,6-8,689,803-641-2470,www.acpsd.net/kms,Ryan Ashley,37,,33.525276904193596,-81.71460768864803
Aiken County Public School District,Aiken 01,0201999,Belvedere Elementary School,0201019,E,201 Rhomboid Place,Belvedere,SC,29841,PK-5,603,803-442-6330,https://www.acpsd.net/Domain/27,Allyson Long,41,,33.528387,-81.937927
Aiken County Public School District,Aiken 01,0201999,Byrd Elementary,0201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,575,8036634320,https://www.acpsd.net/BYES,Renae W. Enlow,36,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,J.D. Lever Elementary,0201022,E,2404 Columbia Highway North,Aiken,SC,29805,PK-5,454,8036412760,https://www.acpsd.net/JDLES,Michael Truitt,37,,33.665724,-81.674147
Aiken County Public School District,Aiken 01,0201999,Clearwater Elementary,0201024,E,4522 Augusta Road,Beech Island,SC,29842,PK-5,374,803-593-7240,https://www.acpsd.net/CES,Eddie Watkins,32,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,East Aiken School Of The Arts,0201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,548,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,43,,33.549399,-81.676056
Aiken County Public School District,Aiken 01,0201999,Schofield Middle School,0201028,M,224 Kershaw Street NE,Aiken,SC,29801,7-8,507,803 641-2770,https://www.acpsd.net/SMS,Scott N. Floyd,32,,33.56210678954813,-81.71243804832794
Aiken County Public School District,Aiken 01,0201999,Gloverville Elementary School,0201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,309,803-593-7280,https://www.acpsd.net/GLES,S. Roxanne Hyer,26,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Greendale Elementary,0201030,E,505 South Boundary Ave.,New Ellenton,SC,29809,PK-5,378,803-652-8170,https://www.acpsd.net/Domain/33,Caroline Barker,30,,33.40766088561273,-81.67881099993546
Aiken County Public School District,Aiken 01,0201999,Hammond Hill Elementary,0201031,E,901 West Woodlawn Avenue,North Augusta,SC,29841,PK-5,655,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,44,,33.509864,-81.982751
Aiken County Public School District,Aiken 01,0201999,Jackson Magnet Middle School,0201033,M,18731 Atomic Road,"Jackson, SC",SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,Perry F Smith Sr.,21,,33.3448235,-81.7959187
Aiken County Public School District,Aiken 01,0201999,Millbrook Elementary,0201035,E,255 East Pine Log Road,Aiken,SC,29803,PK-5,614,803-641-2580,www.acpsd.net/MES,John Metts,39,,33.52539324256999,-81.71427846303648
Aiken County Public School District,Aiken 01,0201999,North Aiken Elementary School,0201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,450,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,35,,33.580211,-81.6901
Aiken County Public School District,Aiken 01,0201999,North Augusta Elementary School,0201039,E,400 East Spring Grove Avenue,North Augusta,SC,29841,PK-5,644,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,46,,33.494238,-81.967952
Aiken County Public School District,Aiken 01,0201999,Cyril B. Busbee Elementary School,0201051,E,20 A. L. Corbett Circle,Wagener,SC,29164,PK-5,451,803-564-1000,https://www.acpsd.net/BUSBEE ,Sonya Colvin,28,,33.66027623066923,-81.36395799920031
Aiken County Public School District,Aiken 01,0201999,Warrenville Elementary,0201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,327,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,29,,33.5363042,-81.7960324
Aiken County Public School District,Aiken 01,0201999,Oakwood-Windsor Elementary,0201054,E,3773 Charleston Highway,Aiken,SC,29803,PK-5,402,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,30,,33.51423382873407,-81.57541220408888
Aiken County Public School District,Aiken 01,0201999,Redcliffe Elementary School,0201055,E,22 Double Springs Road,Aiken,SC,29803,PK-5,633,803-827-3350,https://www.acpsd.net/Page/78#calendar42/20210624 /month,Terra van der Linden,44,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Chukker Creek Elementary School,0201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,662,803-641-2474,www.acpsd.net/CCES,Sara-Beth Brown,48,,33.480586840418844,-81.71442715121182
Aiken County Public School District,Aiken 01,0201999,Mossy Creek Elementary School,0201058,E,421 West Five Notch Road,North Augusta,SC,29841,PK-5,598,803-442-6090,https://www.acpsd.net/MCES,Jeffery A Matthews,44,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Ridge Spring-Monetta Elementary School,0201059,E,1081 Trojan Rd.,"Monetta, SC",SC,29105,PK-5,342,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,29,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Ridge Spring-Monetta High School,0201060,H,1071 Trojan Rd.,Monetta,SC,29105,9-12,258,(803)685-2100,https://www.acpsd.net/Domain/17,Dr. KaRon L. Webb,20,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Aiken Scholars Academy,0201061,H,471 University Parkway,Aiken,SC,29801,9-12,135,803-306-1400,https://www.acpsd.net/Domain/45,Martha Messick,6,,33.573428199999995,-81.76602664178856
Aiken County Public School District,Aiken 01,0201999,Ridge Spring-Monetta Middle School,0201062,M,1071 Trojan Road,Monetta,SC,29105,6-8,196,803-685-2500,https://www.acpsd.net/Domain/6718,Sidney Johnson,16,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,A. L. Corbett Middle School,0201063,M,10 A. L. Corbett Circle,"Wagener, SC",SC,29164,6-8,192,803-564-1050,https://www.acpsd.net/CORBETT,Michelle B. Kennedy,12,,33.66049249775925,-81.36400301521873
Aiken County Public School District,Aiken 01,0201999,Graniteville Elementary,0201066,E,1 Willis Circle,Graniteville,SC,29829,PK-5,291,803-663-9998,https://www.acpsd.net/GVES,Michelle Padgett,22,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Aiken Intermediate School,0201067,M,687 Explorer Trail,Aiken,SC,29801,6,478,803-641-2570,acpsd.net/AIS,Eileen Denise McCray,29,,no_result,no_result
Aiken County Public School District,Aiken 01,0201999,Lloyd-Kennedy Charter,0201601,E,,,SC,0,3-8,61,,,,5,,-27.6301111,-48.667541479622166
Allendale County Schools,Allendale 01,0301999,Allendale Fairfax High School,0301001,H,3581 Allendale-Fairfax Highway,Fairfax,SC,29827,9-12,295,8035842311,https://afhs.acs.k12.sc.us/o/afhs,Darlene D. Hall,23,,32.95883,-81.236972
Allendale County Schools,Allendale 01,0301999,Allendale Elementary School,0301004,E,3305 Allendale-Fairfax Highway,Fairfax,SC,29827,3-5,235,803-584-3476,ales.acs.k12.sc.us,Sheila Leath,19,,32.95883,-81.236972
Allendale County Schools,Allendale 01,0301999,Allendale-Fairfax Middle School,0301008,M,3581 Allendale-Fairfax Hwy ,Fairfax,SC,29827,6-8,254,[803-584-3489],https://afms.acs.k12.sc.us/o/afms,"Willie Robinson, Ed.D.",16,,32.95883,-81.236972
Anderson School District One,Anderson 01,0401999,Palmetto High School,0401001,H,804 North Hamilton Street,Williamston,SC,29697,9-12,956,864-847-7311,https://www.anderson1.org/Page/8444,Robert A. Roach,55,,34.63187605,-82.47667443721616
Anderson School District One,Anderson 01,0401999,Powdersville High School,0401002,H,145 Hood Road,Greenville,SC,29611,9-12,939,864-312-5641,https://www.anderson1.org/Domain/1278,Dr. Chris Ferguson,46,,34.8011042,-82.48773195060892
Anderson School District One,Anderson 01,0401999,Wren High School,0401003,H,905 Wren School Rd,Piedmont,SC,29673,9-12,1125,864-850-5900,https://www.anderson1.org/Domain/1101,Dr. Seth Young,55,,34.7213388,-82.54518578919107
Anderson School District One,Anderson 01,0401999,Palmetto Elementary,0401004,E,1 Roberts Blvd.,Williamston,SC,29697,PK-5,519,864-847-5442,anderson1.org/Domain/330,Amy Cothran,41,,34.6304492,-82.47354425792727
Anderson School District One,Anderson 01,0401999,Cedar Grove Elementary,0401005,E,107 Melvin Lane,Williamston,SC,29697,PK-5,555,864-847-3500,https://www.anderson1.k12.sc.us/,Kristie Finley,37,,34.592940049999996,-82.4964722591593
Anderson School District One,Anderson 01,0401999,Wren Middle School,0401008,M,1010 Wren School Road,Piedmont,SC,29673,6-8,931,864-850-5930,https://www.anderson1.org/Domain/879,Jon Shoffstall,56,,34.72496665,-82.54455850579205
Anderson School District One,Anderson 01,0401999,West Pelzer Elementary School,0401009,E,110 W Stewart Street,Pelzer,SC,29669,PK-5,375,864-947-6424,https://sc01000609.schoolwires.net/Domain/557,Amy C. Bagwell,33,,34.645360233149056,-82.4788761270378
Anderson School District One,Anderson 01,0401999,Spearman Elementary,0401011,E,2001 Easley Hwy.,Piedmont,SC,29673,PK-5,681,864-947-9787,https://www.anderson1.org/Domain/488,Jason Lesley,41,,34.681356699999995,-82.54737748035483
Anderson School District One,Anderson 01,0401999,Palmetto Middle School,0401012,M,140 Middle School Rd.,Williamston,SC,29697,6-8,865,8648474333,anderson1.org/palmetto middle,Jason McCauley,53,,34.6293013,-82.4805871
Anderson School District One,Anderson 01,0401999,Wren Elementary,0401013,E,226 Roper Road,Piedmont,SC,29673,PK-5,567,864-850-5950,https://www.anderson1.org/wres,Tommy Bolger,34,,34.718867,-82.54559157473537
Anderson School District One,Anderson 01,0401999,Hunt Meadows Elementary School,0401014,E,420 Hunt Rd.,Easley,SC,29642,PK-5,501,864-850-3987,https://www.anderson1.org/Domain/262,Carrie Pennington,35,,34.7558876,-82.57412226109449
Anderson School District One,Anderson 01,0401999,Powdersville Middle School,0401061,M,130 Roe Road,"Greenville,",SC,29611,6-8,717,8642691821,https://www.anderson1.org/Domain/793,Todd Binnicker,46,,35.05799847972222,-82.29193351076617
Anderson School District One,Anderson 01,0401999,Powdersville Elementary School,0401062,E,139 Hood Road,Greenville,SC,29611,3-5,661,864-269-4431,www.anderson1.org/pves,Brad Moore,41,,34.79795405,-82.48844940947052
Anderson School District Two,Anderson 02,0402999,Belton-Honea Path High School,0402012,H,11000 Belton Honea Path Highway,Honea Path,SC,29654,9-12,1065,864-369-7382,http://bhp.anderson2.org/,Mary Boarts,56,,34.47387735,-82.44391186075387
Anderson School District Two,Anderson 02,0402999,Belton Elementary School,0402013,E,202 Watkins Street,202 Watkins Street,SC,29627,3-5,355,864-338-7738,http://bes.anderson2.org/,Tracy S. Hedrick,29,,no_result,no_result
Anderson School District Two,Anderson 02,0402999,Belton Middle School,0402014,M,102 Cherokee Rd.,Belton,SC,29627,6-8,528,8643694712,bms.anderson2.org,Josh Burton,35,,34.514175800000004,-82.51018036521288
Anderson School District Two,Anderson 02,0402999,Honea Path Elementary School,0402018,E,806 E. Greer St.,Honea Path,SC,29654,PK-5,522,864-369-7612,hpe.anderson2.org,Jeremy Sauceman,36,,34.4446739,-82.38076266537804
Anderson School District Two,Anderson 02,0402999,Honea Path Middle School,0402019,M,107 Brock Avenue,"Honea Path, SC",SC,29654,6-8,329,864-369-7641,http://hpms.anderson2.org/,John Michael Hall,24,,34.4484687,-82.39824709555711
Anderson School District Two,Anderson 02,0402999,Wright Elementary School,0402021,E,1136 Wright School Road,Belton,SC,29627,K-5,184,864-296-1776,wes.anderson2.org,Kim Whitt,15,,34.398688750000005,-82.52832541840706
Anderson School District Three,Anderson 03,0403999,Crescent High School,0403022,H,9104 Highway 81 South,Iva,SC,29655,9-12,719,864-352-6175,https://www.acsd3.org/o/crescent-high-school,T. Cliff Roberts,44,,34.3398546,-82.68831581256043
Anderson School District Three,Anderson 03,0403999,Iva Elementary School,0403024,E,"803 Antreville Hwy Iva SC  29655, 335 West Front S",IVA,SC,29655,PK-5,360,8643486400,https://www.acsd3.org/o/iva-elementary-school,Daniel Crawford,30,,no_result,no_result
Anderson School District Three,Anderson 03,0403999,Starr-Iva Middle School,0403025,M,1034 Rainey Road,Starr,SC,29684,6-8,630,864-352-6146,https://www.acsd3.org/o/starr-iva-middle-school,Adam Coats,38,,34.3825624,-82.72656579955948
Anderson School District Three,Anderson 03,0403999,Starr Elementary,0403026,E,400 Professor Brown Lane,Starr,SC,29684,PK-5,472,864-352-6154,https://www.acsd3.org/o/starr-elementary-school,Melissa Davis,34,,34.38544935,-82.69470411731965
Anderson School District Three,Anderson 03,0403999,Flat Rock Elementary,0403027,E,115 Thompson Road,Anderson,SC,29624,PK-5,368,8642969191,https://www.acsd3.org/o/flat-rock-elementary-school,Christy Horton Dodd,27,,34.4077151,-82.6363331
Anderson District 4,Anderson 04,0404999,Pendleton High School,0404027,H,7324 Highway 187  ,Anderson,SC,29625,9-12,829,864-403-2100,https://phs.anderson4.org,Brian Couch,51,,34.61207293488808,-82.78647041942911
Anderson District 4,Anderson 04,0404999,Riverside Middle School,0404029,M,458 Riverside Street  ,Pendleton,SC,29670,7-8,450,8644032200,https://rms.anderson4.org/en-US,Jeffrey T. Boozer,32,,34.6546754,-82.79579360407348
Anderson District 4,Anderson 04,0404999,La France Elementary School,0404031,E,La France Elementary School 550 Williams St,Pendleton,SC,29670,PK-6,393,8644032300,https://les.anderson4.org/,Melida Reeves,29,,no_result,no_result
Anderson District 4,Anderson 04,0404999,Pendleton Elementary School,0404034,E,902 East Queen Street,Pendleton,SC,29670,PK-6,350,864-403-2500,www.pes.anderson4.org,Jeffrey Simpson,30,,34.655596700000004,-82.76798588099476
Anderson District 4,Anderson 04,0404999,Townville Elementary,0404036,E,105 Townville School Road PO 10,Townville,SC,29689,PK-6,280,864-403-2600,https://tes.anderson4.org,Denise B. Fredericks,20,,no_result,no_result
Anderson District 4,Anderson 04,0404999,Mount Lebanon Elementary School,0404037,E,2850 Lebanon Road,Pendleton,SC,29670,PK-6,453,864-403-2400,mles.anderson4.org,Elliott Southard,32,,34.60389565,-82.69974026071739
Anderson School District Five,Anderson 05,0405999,T. L. Hanna High,0405038,H,2600 Hwy 81 North,Anderson,SC,29621,9-12,1937,864-260-5110,https://www.anderson5.net/Domain/25,Walter A. Mayfield,95,,34.56716185,-82.62349770483375
Anderson School District Five,Anderson 05,0405999,Mccants Middle School,0405040,M,2123 Marchbanks Ave,Anderson,SC,29621,6-8,624,8642605145,anderson5.net/mccants,Kelly P. Elrod,46,,34.52982235,-82.63086121017915
Anderson School District Five,Anderson 05,0405999,Centerville Elementary School,0405044,E,1529 Whitehall Road,Anderson,SC,29625,K-5,643,864-260-5100,https://www.anderson5.net/Domain/9,Jenifer Seymour,43,,34.5279161,-82.70766188380901
Anderson School District Five,Anderson 05,0405999,Concord Elementary,0405045,E,2701 Calrossie Rd,Anderson,SC,29621,PK-5,561,864-260-5105,https://www.anderson5.net/concord,Tonna Marroni,36,,34.53615725,-82.65776028303405
Anderson School District Five,Anderson 05,0405999,Westside High School,0405048,H,806 Pearman Dairy Road,Anderson,SC,29625,9-12,1651,864-260-5230,https://www.anderson5.net/westside,Kory Roberts,90,,34.517748749999996,-82.6895810187668
Anderson School District Five,Anderson 05,0405999,Nevitt Forest Elementary School,0405050,E,1401 Bolt Drive,Anderson,SC,29621,K-5,516,864-260-5190,https://www.anderson5.net/nevittforest,Robin Gay,35,,34.492847,-82.603409
Anderson School District Five,Anderson 05,0405999,New Prospect Elementary School,0405051,E,126 New Prospect Church Road,Anderson,SC,29625,K-5,448,864-260-595,https://www.anderson5.net/newprospect,Mr. Brian Williams,34,,34.506973450000004,-82.70415645832273
Anderson School District Five,Anderson 05,0405999,Varennes Elementary School,0405055,E,1820 US-29 Bus,Anderson,SC,29626,3-5,339,864-260-5215,https://www.anderson5.net/Domain/17,Danessa A. Barr,25,,no_result,no_result
Anderson School District Five,Anderson 05,0405999,Whitehall Elementary School,0405059,E,702 Whitehall Rd.,Anderson,SC,29626,PK-5,518,8642605255,www.anderson.net/whitehall,Jennifer Bufford,35,,34.529516,-82.679757
Anderson School District Five,Anderson 05,0405999,Calhoun Academy Of The Arts,0405060,E,1520 East Calhoun Street,Anderson,SC,29621,K-5,486,[864-260-5090],https://www.anderson5.net/Domain/8,Ann Self,37,,34.5237389,-82.62492980781656
Anderson School District Five,Anderson 05,0405999,Midway Elementary School,0405061,E,1221 Harriet Circle,Anderson,SC,29621,K-5,691,864-716-3800,https://www.anderson5.net/Domain/13,Brandon Meares,52,,no_result,no_result
Anderson School District Five,Anderson 05,0405999,Mclees Elementary,0405062,E,4900 Dobbins Bridge Road,Anderson,SC,29626,K-5,595,8647163600,www.anderson5.net/Domain/12,Janet T Mills,41,,34.478898,-82.74933335526269
Anderson School District Five,Anderson 05,0405999,Robert Anderson Middle School,0405063,M,2302 Dobbins Bridge Road,Anderson,SC,29626,6-8,1314,864-716-3890,https://www.anderson5.net/robertanderson,Curtis Smith,89,,34.4946593,-82.68878631433407
Anderson School District Five,Anderson 05,0405999,Glenview Middle School,0405064,M,2575 Old Williamston Rd,Anderson,SC,29621,6-8,749,8647164060,http://glenview.anderson5.net/,Leonard Galloway,47,,34.5431899,-82.6055213702221
Anderson School District Five,Anderson 05,0405999,Southwood Academy Of The Arts,0405065,M,1110 Southwood St,Anderson,SC,29624,6-8,383,864-260-5205,https://www.anderson5.net/Domain/23,James A. Smith,33,,34.4901871,-82.66197635479415
Anderson School District Five,Anderson 05,0405999,North Pointe Elementary School,0405066,E,3325 Highway 81 N ,Anderson,SC,29621,PK-5,548,864-260-5040,www.anderson5.net/northpointe,Jill S. Brackett,38,,34.58172035,-82.62361679244394
Anderson School District Five,Anderson 05,0405999,Anderson Five Charter School,0405601,H,1225 South McDuffie Street,Anderson,SC,29624,9-12,72,864-260-5160,https://www.anderson5.net/Domain/4026,Mrs. Katie Brown,22,charter,34.49472071193054,-82.64654776142164
Bamberg School District 1,Bamberg 01,0501999,Bamberg-Ehrhardt High School,0501001,H,267 Red Raider Drive,Bamberg,SC,29003,9-12,371,803-245-3030,https://behs.bamberg1.net/,Dennis Randall Ulmer Jr.,27,,no_result,no_result
Bamberg School District 1,Bamberg 01,0501999,Bamberg-Ehrhardt Middle School,0501002,M,897 NORTH ST,BAMBERG,SC,29003,7-8,193,803-245-3058,https://bems.bamberg1.net/,Denise L. Miller,14,,33.30112387951807,-81.03174710843373
Bamberg School District 1,Bamberg 01,0501999,Richard Carroll Elementary,0501006,E,1980 Main Highway,Bamberg,SC,29003,PK-6,630,8032453043,https://rces.bamberg1.net/,Stacey Walter,49,,33.2939249,-81.0361454
Bamberg School District 2,Bamberg 02,0502999,Denmark Olar High School,0502007,H,197 Viking Circle,Denmark,SC,29042,9-12,171,803-793-3307,https://sc02209464.schoolwires.net/Domain/80,Walter M. Baker Jr.,18,,33.328142650000004,-81.12266167687564
Bamberg School District 2,Bamberg 02,0502999,Denmark Olar Middle School,0502008,M,Church St.,Denmark,SC,29042,6-8,150,803-793-3383,https://sc02209464.schoolwires.net/Domain/39,Walter M. Baker Jr.,10,,33.319794,-81.1284323
Bamberg School District 2,Bamberg 02,0502999,Denmark Olar Elementary,0502010,E,1437 Church Street,Denmark ,SC,29042,PK-5,318,803-793-3112,www.Bamberg2.org,Lorraine Peeples,25,,33.319794,-81.1284323
Barnwell School District 19,Barnwell 19,0619999,Blackville Hilda High School,0619001,H,76 Atkins Circle,Blackville,SC,29817,9-12,165,8032845700,https://www.barnwell19.k12.sc.us/,Christina Snider,10,,33.3628637,-81.2647093
Barnwell School District 19,Barnwell 19,0619999,Macedonia Elementary/Middle School,0619003,E,556 Jones Bridge Rd .,Blackville,SC,29817,PK-8,400,8032845800,https://www.barnwell19.k12.sc.us/3/home,Eryl Smalls,24,,33.367765142857145,-81.26879728571429
Williston School District (Barnwell 29),Barnwell 29,0629999,Williston-Elko High School,0629006,H,12233 Main Street,Williston,SC,29853,9-12,238,803-266-3110,https://high.williston.k12.sc.us/,John Bradley,17,,33.4021853,-81.4232838
Williston School District (Barnwell 29),Barnwell 29,0629999,Kelly Edwards Elementary School,0629007,E,1071 Elko St.,Williston,SC,29853,PK-5,377,803-266-3737,http://elementary.williston.k12.sc.us/,Nakeisha Baxley,27,,33.399002183673474,-81.40635686734694
Williston School District (Barnwell 29),Barnwell 29,0629999,Williston Elko Middle School,0629008,M,12333 E Main Street,Williston,SC,29853,6-8,187,803-266-3430,https://middle.williston.k12.sc.us/,Austrai Bradley,14,,no_result,no_result
Barnwell School District 45,Barnwell 45,0645999,Barnwell High School,0645009,H,474 Jackson Street,Barnwell,SC,29812,9-12,574,803-541-1390,http://bhs.bsd45.net/,Franklin McCormack,37,,33.22726575757576,-81.36008324242425
Barnwell School District 45,Barnwell 45,0645999,Guinyard Butler Middle,0645010,M,779 Allen Street,Barnwell,SC,29812,7-8,352,803-541-1370,https://barnwell-gbms.weebly.com/,Jon Burdge,19,,33.24651325189272,-81.35676489324703
Barnwell School District 45,Barnwell 45,0645999,Barnwell Elementary School,0645012,E,10524 Marlboro Avenue,Barnwell,SC,29812,4-6,415,803-541-1285,www.barnwellelementary.net,Kay M. Gooding,30,,33.25580561733662,-81.3554242154631
Beaufort County School District,Beaufort 01,0701999,Lady's Island Middle School,0701001,M,30 Cougar Dr.,Beaufort,SC,29907,6-8,509,843-322-3100,https://lims.beaufortschools.net/,Dr. Chavon Browne,37,,32.4148101,-80.6424368
Beaufort County School District,Beaufort 01,0701999,Beaufort High School,0701002,H,84 Sea Island Parkway,Beaufort,SC,29907,9-12,1204,8433222000,https://bhs.beaufortschools.net/,Charity Summers,77,,32.417476,-80.657744
Beaufort County School District,Beaufort 01,0701999,Hilton Head Island High School,0701003,H,70 Wilborn Road,Hilton Head Island,SC,29926,9-12,1359,843-689-4800,https://hhihs.beaufortschools.net/,Steven Schidrich,87,,32.21919335,-80.73138601183453
Beaufort County School District,Beaufort 01,0701999,"Battery Creek High School, Beaufort County School District",0701004,H,1 Blue Dolphin Drive --,Beaufort,SC,29906,9-12,766,843-322-5500,http://bchs.beaufortschools.net/,Chad Cox,58,,32.4332813,-80.7467525
Beaufort County School District,Beaufort 01,0701999,Beaufort Elementary School,0701008,E,1800 Prince Street,Beaufort,SC,29902,PK-5,375,843-322-2600,https://bes.beaufortschools.net/,Melissa Holland,44,,32.4344757,-80.6825789
Beaufort County School District,Beaufort 01,0701999,Hilton Head Island Middle School,0701009,M,55 Wilborn Road,Hilton Head,SC,29926,6-8,882,843-689-4500,hhims.beaufortschools.net,Patricia A. Freda,67,,32.2206582,-80.72916524902578
Beaufort County School District,Beaufort 01,0701999,Broad River Elementary School,0701010,E,474 Broad River Blvd,Beaufort,SC,29906,PK-5,446,8433228400,bre.beaufort.k12.sc.us,Constance Goodwine-Lewis,47,,32.4215676,-80.7560189
Beaufort County School District,Beaufort 01,0701999,Lady's Island Elementary,0701014,E,73 Chowan Creek Bluff,Beaufort,SC,29907,PK-5,225,843-322-2240,lies.beaufort.k12.sc.us,Marvelle L. Ulmer,24,,32.3947728,-80.6261292
