district,school,school_id,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,year,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,len_str,tchreturn3yr_avg_pct_curr_yr,tchadvdegree_pct_curr_yr,tchinexperienced_pct_curr_yr,tchsalary_avg_curr_yr,tech_pct_class_wireless_curr_yr,tech_oneto_one_curr_yr,retained_pct_curr_yr,chronic_absenteeism_rate,gpercent_overall,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,percent_in_poverty
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA,2021,E,31.7,28,35.4,22,39.1,NA,13,6,97.6,92.8571428571429,0,52746.92,100,100,5.2,1.1,NA,170,85,85,101,46,NA,0,145,23,50,50,0,59.411764705882355,27.058823529411764,13.529411764705882,85.29411764705883
"Abbeville
County School
District","John C. Calhoun
Elementary School",0160007,"750 North Calhoun
Shores Parkway",Calhoun Falls,SC,29628,PK-5,170,864-418-8016,www.acsdsc.org/jcce,Milton Scott,14,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,92.5,92.9,0,54236,100,0,2.4,NA,NA,177,79,98,106,47,NA,0,155,24,44.632768361581924,55.367231638418076,0,59.887005649717516,26.55367231638418,13.559322033898304,87.57062146892656
"Abbeville
County School
District",Wright Middle School,0160016,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA,2017,M,58.4,12.7,58,13,68.9,9.6,NA,6,NA,NA,NA,48001,NA,NA,2.1,NA,NA,373,196,177,179,182,NA,NA,NA,12,52.54691689008043,47.45308310991957,NA,47.98927613941019,48.793565683646115,3.2171581769436997,NA
"Abbeville
County School
District",Wright Middle School,0160016,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA,2018,M,51.5,15,62.9,13.1,70.7,NA,13.4,7,89,63.6,4.8,48903,100,56.00000000000001,0.5,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Wright Middle School,0160016,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA,2019,M,57.1,14.8,58.2,10.7,63.7,NA,15.1,7,89,68.8,0,52361,100,50,0.8,11.7,NA,374,171,203,180,176,NA,0,256,18,45.72192513368984,54.278074866310156,0,48.1283422459893,47.05882352941176,4.81283422459893,68.44919786096256
"Abbeville
County School
District",Wright Middle School,0160016,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA,2021,M,38.7,28.5,36.7,29.6,35.3,NA,40.2,6,88.8,54.8387096774194,7.7,50610.1585185185,100,100,2.4,7.4,NA,383,175,208,185,178,NA,0,297,20,45.69190600522193,54.308093994778076,0,48.30287206266319,46.47519582245431,5.221932114882506,77.54569190600522
"Abbeville
County School
District",Wright Middle School,0160016,111 Highway 71,Abbeville,SC,29620,6-8,384,864-366-5998,https://wrms.acsdsc.org/o/wright-middle-school,Brenda Jackson,31,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,93.4,70.6,0,53216,100,60,2.1,10.4,NA,385,173,212,185,180,NA,0,284,20,44.935064935064936,55.064935064935064,0,48.05194805194805,46.75324675324675,5.194805194805195,73.76623376623377
"Abbeville
County School
District",Westwood Elementary,0160017,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA,2017,E,51.599999999999994,16.3,69.3,7.6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1.1,NA,NA,362,166,196,173,177,NA,NA,NA,12,45.85635359116022,54.14364640883977,NA,47.790055248618785,48.89502762430939,3.314917127071823,NA
"Abbeville
County School
District",Westwood Elementary,0160017,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA,2018,E,45.7,19.3,65.5,10.1,52.5,NA,15,7,86.9,65.4,0,46621,100,50,0.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Westwood Elementary,0160017,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA,2019,E,50.1,21.3,64.3,10.7,55.8,NA,23.1,7,85.7,61.5,33.3,48337,50,50,0.3,11.8,NA,356,168,188,165,171,NA,0,270,19,47.19101123595505,52.80898876404494,0,46.348314606741575,48.03370786516854,5.337078651685393,75.84269662921348
"Abbeville
County School
District",Westwood Elementary,0160017,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA,2021,E,44.2,26.4,48.5,21.2,42.4,NA,29.3,6,89.7,68,0,50953.1843478261,100,100,1.5,0,NA,331,154,177,166,151,NA,0,255,14,46.52567975830816,53.47432024169184,0,50.15105740181269,45.61933534743202,4.229607250755287,77.0392749244713
"Abbeville
County School
District",Westwood Elementary,0160017,124 HWY 28 South,Abbeville,SC,29620,3-5,340,8643669604,wwes.acsdsc.org,Darren Gray,25,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,89.5,65.4,5,50575,100,100,1.7,0,NA,345,168,177,174,158,NA,0,265,13,48.69565217391305,51.30434782608696,0,50.43478260869565,45.79710144927536,3.768115942028986,76.81159420289855
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2017,E,52.5,12.3,70.4,6.2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1.4,NA,NA,448,211,237,52,390,NA,NA,NA,6,47.098214285714285,52.90178571428571,NA,11.607142857142858,87.05357142857143,1.3392857142857142,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2017,M,55.8,13.5,59.4,10.8,78.4,9,NA,6,NA,NA,NA,49331,NA,NA,1.4,NA,NA,448,211,237,52,390,NA,NA,NA,6,47.098214285714285,52.90178571428571,NA,11.607142857142858,87.05357142857143,1.3392857142857142,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2018,E,51.2,10.8,62,6,60.9,NA,10.1,7,89.4,71.4,15.8,49168,100,0,1,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2018,M,53.2,10.8,69.4,9.9,71.7,NA,11.7,7,89.4,71.4,15.8,49168,100,0,1,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2019,E,56,13.8,61,9.4,68.6,NA,13.7,7,91.7,65.5,5.6,53536,100,69,1.7,13.9,NA,442,200,242,47,386,NA,0,259,9,45.248868778280546,54.75113122171946,0,10.633484162895927,87.33031674208145,2.0361990950226243,58.59728506787331
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2019,M,52.8,17.9,61.3,10.4,78.4,NA,7.8,7,91.7,65.5,5.6,53536,100,69,1.7,13.9,NA,442,200,242,47,386,NA,0,259,9,45.248868778280546,54.75113122171946,0,10.633484162895927,87.33031674208145,2.0361990950226243,58.59728506787331
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2021,E,48.5,21.6,56,19.4,37,NA,26.1,6,96.4,60.7142857142857,7.7,51472.4918518519,100,100,1.6,0,NA,456,200,256,53,390,NA,0,294,13,43.859649122807014,56.14035087719298,0,11.62280701754386,85.52631578947368,2.850877192982456,64.47368421052632
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2021,M,54.4,16,50,19.4,61.7,NA,31.7,6,96.4,60.7142857142857,7.7,51472.4918518519,100,100,1.6,0,NA,456,200,256,53,390,NA,0,294,13,43.859649122807014,56.14035087719298,0,11.62280701754386,85.52631578947368,2.850877192982456,64.47368421052632
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,92.8,65.5,5.6,51650,100,60,1.2,0,NA,448,203,245,56,381,NA,0,285,11,45.3125,54.6875,0,12.5,85.04464285714286,2.455357142857143,63.61607142857143
"Abbeville
County School
District",Cherokee Trail Elementary,0160018,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,"Donald O.
Clendaniel III",28,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,92.8,65.5,5.6,51650,100,60,1.2,0,NA,448,203,245,56,381,NA,0,285,11,45.3125,54.6875,0,12.5,85.04464285714286,2.455357142857143,63.61607142857143
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2017,E,49.5,14,72.9,5.6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,2.7,NA,NA,308,162,146,39,268,NA,NA,NA,1,52.5974025974026,47.4025974025974,NA,12.662337662337661,87.01298701298701,0.3246753246753247,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2017,M,45.4,10.9,50,7.8,54.699999999999996,14.1,NA,6,NA,NA,NA,49216,NA,NA,2.7,NA,NA,308,162,146,39,268,NA,NA,NA,1,52.5974025974026,47.4025974025974,NA,12.662337662337661,87.01298701298701,0.3246753246753247,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2018,E,50.9,17.9,75,7.1,68.6,NA,2.9,7,89,63.6,15.4,47976,100,0,0.3,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2018,M,54.7,14.7,52,14.7,58.3,NA,16.7,7,89,63.6,15.4,47976,100,0,0.3,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2019,E,43.5,27,60,13.9,55.8,NA,16.3,7,90.8,75,0,51401,100,50,1.5,4.6,NA,348,179,169,40,304,NA,0,244,4,51.43678160919541,48.56321839080459,0,11.494252873563218,87.356321839080465,1.1494252873563218,70.11494252873564
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2019,M,48.1,22.8,50.6,13.9,51.3,NA,20.5,7,90.8,75,0,51401,100,50,1.5,4.6,NA,348,179,169,40,304,NA,0,244,4,51.43678160919541,48.56321839080459,0,11.494252873563218,87.356321839080465,1.1494252873563218,70.11494252873564
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2021,E,41.3,23.9,48.6,17.4,29.4,NA,32.4,6,85.8,80.9523809523809,18.2,51359.587368421,100,100,1.3,0.3,NA,311,165,146,34,269,NA,0,211,8,53.054662379421224,46.94533762057878,0,10.932475884244374,86.49517684887459,2.572347266881029,67.84565916398714
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2021,M,53.2,22.8,53.2,19,56.5,NA,17.4,6,85.8,80.9523809523809,18.2,51359.587368421,100,100,1.3,0.3,NA,311,165,146,34,269,NA,0,211,8,53.054662379421224,46.94533762057878,0,10.932475884244374,86.49517684887459,2.572347266881029,67.84565916398714
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2020,E,NA,NA,NA,NA,NA,NA,NA,NA,90.5,71.4,0,52255,100,0,0.6,NA,NA,333,169,164,33,296,NA,0,226,4,50.750750750750754,49.249249249249246,0,9.90990990990991,88.88888888888889,1.2012012012012012,67.86786786786787
"Abbeville
County School
District",Diamond Hill Elementary,0160019,"104 Lake Secession
Road",Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21,NA,2020,M,NA,NA,NA,NA,NA,NA,NA,NA,90.5,71.4,0,52255,100,0,0.6,NA,NA,333,169,164,33,296,NA,0,226,4,50.750750750750754,49.249249249249246,0,9.90990990990991,88.88888888888889,1.2012012012012012,67.86786786786787
"Aiken County
Public School
District",Silver Bluff High School,0201001,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50800,NA,NA,2.4,NA,86.705202312,620,290,330,296,270,NA,NA,NA,54,46.774193548387096,53.2258064516129,NA,47.74193548387097,43.54838709677419,8.709677419354838,NA
"Aiken County
Public School
District",Silver Bluff High School,0201001,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,88.4,52.5,22.2,50346,100,53,2.8,12.7,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Silver Bluff High School,0201001,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,84.2,63.2,15,52598,100,46,3.2,18.7,90.604026846,628,303,325,250,292,NA,0,403,86,48.2484076433121,51.7515923566879,0,39.80891719745223,46.496815286624205,13.694267515923567,64.171974522293
"Aiken County
Public School
District",Silver Bluff High School,0201001,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,84.6,67.5,11.8,55406,NA,NA,3.5,24,88.194444444,625,293,332,236,302,NA,0,386,87,46.88,53.12,0,37.76,48.32,13.919999999999998,61.760000000000005
"Aiken County
Public School
District",Silver Bluff High School,0201001,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,78.8,67.5675675675676,31.3,53205.1818181818,100,100,3.4,18.4,88.957055215,617,293,324,251,281,NA,0,391,85,47.487844408427875,52.51215559157212,0,40.680713128038896,45.54294975688817,13.776337115072934,63.37115072933549
"Aiken County
Public School
District",Aiken High School,0201002,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51617,NA,NA,3.7,NA,93.072289157,1400,670,730,609,674,NA,NA,NA,117,47.85714285714286,52.142857142857146,NA,43.5,48.142857142857146,8.357142857142858,NA
"Aiken County
Public School
District",Aiken High School,0201002,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,88.9,66.2,2.6,51419,100,73,3.5,31.3,90.060240964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",Aiken High School,0201002,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,86,65.4,17.6,53879,100,78,4,30,93.311036789,1264,633,631,574,569,NA,0,765,121,50.07911392405063,49.92088607594937,0,45.41139240506329,45.015822784810126,9.572784810126581,60.52215189873418
"Aiken County
Public School
District",Aiken High School,0201002,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,86.3,62.7,13.9,55333,100,0,4,32.5,92.814371257,1256,655,601,552,571,NA,0,728,133,52.14968152866242,47.85031847133758,0,43.94904458598726,45.461783439490446,10.589171974522294,57.961783439490446
"Aiken County
Public School
District",Aiken High School,0201002,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,87.1,65.3333333333333,12.1,55017.5362318841,100,100,2.9,18.4,88.847583643,1207,632,575,569,487,NA,0,744,151,52.36122618061309,47.63877381938691,0,47.14167357083679,40.34797017398509,12.510356255178129,61.64043082021541
"Aiken County
Public School
District",South Aiken High School,0201003,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,2017,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54574,NA,NA,3.1,NA,89.814814815,1387,679,708,397,846,NA,NA,NA,144,48.95457822638789,51.04542177361211,NA,28.622927180966112,60.994953136265316,10.382119682768565,NA
"Aiken County
Public School
District",South Aiken High School,0201003,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,2018,H,NA,NA,NA,NA,NA,NA,NA,NA,79.3,62.3,16.3,53862,100,0,2.3,13.7,88.448844884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aiken County
Public School
District",South Aiken High School,0201003,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,2019,H,NA,NA,NA,NA,NA,NA,NA,NA,81.7,64.1,15.2,53840,100,25,2.3,18.4,92.261904762,1379,646,733,361,790,NA,0,606,228,46.84554024655547,53.15445975344453,0,26.178390137780998,57.28788977519942,16.533720087019578,43.944887599709936
"Aiken County
Public School
District",South Aiken High School,0201003,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,2020,H,NA,NA,NA,NA,NA,NA,NA,NA,85.4,64.6,5.9,55663,100,25,2.4,21.1,89.285714286,1400,660,740,355,795,NA,0,610,250,47.14285714285714,52.85714285714286,0,25.357142857142854,56.785714285714285,17.857142857142858,43.57142857142857
"Aiken County
Public School
District",South Aiken High School,0201003,"232 East Pine Log
Road",Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81,NA,2021,H,NA,NA,NA,NA,NA,NA,NA,NA,89.4,56.5217391304348,8.7,55629.6956521739,100,100,2,5.6,92.375366569,1298,623,675,340,729,NA,0,572,229,47.996918335901384,52.003081664098616,0,26.194144838212637,56.163328197226505,17.64252696456086,44.06779661016949
