report_card_year.x,district_nm.x,school_nm.x,schoolid,schooltypecd.x,tch_retention_18,tch_retention_21,change_over_time,percent_change_over_time
2021,Hampton 2,Estill Middle,2502014,M,62.1,76.4,14.300000000000004,23.02737520128825
2021,"Richland School District
One",Annie Burnside Elementary,4001027,E,68.3,82.5,14.200000000000003,20.79062957540264
2021,Sumter Schools,Wilder,4301038,E,73.8,87.7,13.900000000000006,18.83468834688348
2021,Horry County Schools,Forestbrook Middle School,2601051,M,75.6,89.3,13.700000000000003,18.121693121693127
2021,"Greenwood School
District 50",Hodges Elementary School,2450016,E,78.9,92.6,13.699999999999989,17.363751584283886
2021,"Barnwell School District
45",Barnwell High School,0645009,H,74.5,87.8,13.299999999999997,17.852348993288587
2021,"Lee County School
District",Dennis Es,3101007,E,72.4,85.6,13.199999999999989,18.23204419889501
2021,"Charleston County School
District",East Cooper Montessori Charter,1001614,E,66.6,79.6,13,19.51951951951952
2021,"Lexington County School
District Three","Batesburg-Leesville Elementary
School",3203028,E,80.9,93.9,13,16.069221260815823
2021,"Spartanburg School
District One",T.E. Mabry Middle,4201004,M,78.1,91,12.900000000000006,16.517285531370046
2021,Horry County Schools,Bridgewater Academy Charter,2601601,E,66.2,78.9,12.700000000000003,19.184290030211486
2021,"Marlboro County School
District",Clio Elementary School,3501023,E,65.6,78,12.400000000000006,18.902439024390254
2021,"Anderson School District
Five",North Pointe Elementary School,0405066,E,77.7,90.1,12.399999999999991,15.958815958815947
2021,"Georgetown County
School District",Georgetown High,2201004,H,78.2,90.6,12.399999999999991,15.856777493606128
2021,"Aiken County Public
School District","New Ellenton Middle Steam Magnet
School",0201010,M,81.5,93.6,12.099999999999994,14.846625766871158
2021,"School District Five Of
Lexington & Richland
Count",Lake Murray Elementary School,3205052,E,85,97.1,12.099999999999994,14.23529411764705
2021,Sumter Schools,"R.E. Davis College Preparatory
Academy",4301010,E,75.2,87.2,12,15.957446808510637
2021,"Kershaw County School
District",Mt. Pisgah Elementary,2801020,E,83.3,95.2,11.900000000000006,14.285714285714294
2021,"Berkeley County School
District",St. Stephen Middle School,0801029,M,78,89.7,11.700000000000003,15.000000000000005
2021,"Fairfield County School
District",Fairfield Elementary School,2001014,E,80,91.5,11.5,14.374999999999998
2021,Anderson District 4,Pendleton Elementary School,0404034,E,71.7,83.1,11.399999999999991,15.899581589958148
2021,"Beaufort County School
District",Hilton Head Island Middle School,0701009,M,70.5,81.8,11.299999999999997,16.028368794326237
2021,"Rock Hill School District
(York 3)",Sunset Park,4603033,E,77,88.2,11.200000000000003,14.54545454545455
2021,"Fairfield County School
District","Fairfield Magnet School For Math And
Science",2001015,E,72.3,83.4,11.100000000000009,15.352697095435698
2021,"Florence School District
Five",Johnsonville High School,2105045,H,83.5,94.4,10.900000000000006,13.053892215568869
2021,"Spartanburg School
District Three",Cowpens Elementary School,4203030,E,77,87.9,10.900000000000006,14.155844155844163
2021,"Spartanburg School
District Two",Mayo Elementary School,4202023,E,83.4,94.3,10.899999999999991,13.069544364508381
2021,"Spartanburg County
School District Six",Jesse S. Bobo Elementary School,4206065,E,73.2,84,10.799999999999997,14.754098360655732
2021,"Charleston County School
District",Montessori Community School,1001113,E,83.8,94.5,10.700000000000003,12.768496420047736
2021,"Dillon School District
Three",Latta High School,1703019,H,78.2,88.9,10.700000000000003,13.68286445012788
2021,"Spartanburg School
District Two",Boiling Springs Middle School,4202014,M,78.9,89.6,10.699999999999989,13.561470215462595
2021,"Richland School District
Two",Pontiac Elementary School,4002081,E,73.2,83.7,10.5,14.344262295081966
2021,"South Carolina Public
Charter School District",Spartanburg Preparatory School,4701006,E,71.3,81.8,10.5,14.726507713884992
2021,"Florence County School
District 2",Hannah - Pamplico High School,2102024,H,82.6,92.9,10.300000000000011,12.469733656174348
2021,"Fairfield County School
District","Mccrorey-Liston School Of
Technology",2001009,E,75.1,85.3,10.200000000000003,13.581890812250338
2021,"South Carolina Public
Charter School District",Palmetto Scholars Academy,4701010,H,78.7,88.9,10.200000000000003,12.960609911054641
2021,"Aiken County Public
School District",South Aiken High School,0201003,H,79.3,89.4,10.100000000000009,12.73644388398488
2021,"Mccormick County School
District",Mccormick Middle School,3301002,M,67.3,77.4,10.100000000000009,15.007429420505215
2021,"Berkeley County School
District",Cross Elementary,0801016,E,84.2,94.2,10,11.87648456057007
2021,"Spartanburg County
School District Six",Woodland Heights Elementary School,4206067,E,81.1,91.1,10,12.330456226880395
2021,"Williamsburg County
School District",Hemingway High School,4501006,H,66.7,76.7,10,14.992503748125937
2021,"South Carolina Public
Charter School District",Fox Creek High School,4701020,H,88.3,98.2,9.900000000000006,11.21177802944508
2021,"Lee County School
District",Lee Central High School,3101013,H,68.9,78.8,9.899999999999991,14.368650217706808
2021,"Beaufort County School
District",Red Cedar Elementary,0701034,E,81.3,91,9.700000000000003,11.931119311193115
2021,"Florence School District
Five",Johnsonville Middle School,2105049,M,86.1,95.8,9.700000000000003,11.265969802555173
2021,"School District Of Pickens
County",Liberty Middle School,3901030,M,81.7,91.4,9.700000000000003,11.872705018359857
2021,"Richland School District
One",Carolina School For Inquiry,4001603,E,67.5,77.2,9.700000000000003,14.370370370370376
2021,"Spartanburg County
School District Six",Lone Oak Elementary School,4206061,E,78.3,88,9.700000000000003,12.388250319284806
2021,Sumter Schools,Furman Middle,4301003,M,76.2,85.9,9.700000000000003,12.729658792650921
2021,"Fort Mill School District -
York 4",Fort Mill Middle School,4604037,M,80,89.7,9.700000000000003,12.125000000000004
2021,"Chester County School
District",Lewisville High School,1201006,H,86.3,95.8,9.5,11.00811123986095
2021,Lancaster,Clinton Elementary School,2901015,E,67.3,76.8,9.5,14.115898959881129
2021,"Richland School District
Two","L.W. Conder Elementary Arts
Integrated Magnet School",4002073,E,78.3,87.8,9.5,12.132822477650064
2021,"South Carolina Public
Charter School District",Bridges Preparatory School,4701027,E,66.7,76.2,9.5,14.24287856071964
2021,"Charleston County School
District",St. Johns High,1001020,H,62.1,71.5,9.399999999999999,15.136876006441222
2021,"Richland School District
One",Lower Richland High School,4001013,H,77.6,86.9,9.300000000000011,11.984536082474243
2021,"Richland School District
Two",Blythewood Middle School,4002085,M,74.9,84.2,9.299999999999997,12.416555407209607
2021,"Richland School District
Two",Sandlapper Elementary,4002093,E,80.7,90,9.299999999999997,11.52416356877323
2021,"Colleton County School
District",Cottageville Elementary School,1501011,E,75.1,84.3,9.200000000000003,12.250332889480697
2021,"School District Of Pickens
County",Dacusville Middle School,3901001,M,83.1,92.3,9.200000000000003,11.070998796630569
2021,"Dorchester School District
Two",Beech Hill Elementary School,1802021,E,83,92,9,10.843373493975903
2021,"Richland School District
One",Carver-Lyon Elementary School,4001088,E,71.7,80.7,9,12.552301255230125
2021,"Spartanburg School
District One",O.P. Earle Elementary,4201007,E,80.1,88.9,8.800000000000011,10.986267166042461
2021,"Edgefield County School
District","Johnston-Edegfield-Trenton Middle
School",1901009,M,78.8,87.6,8.799999999999997,11.167512690355327
2021,"South Carolina Public
Charter School District",Lowcountry Montessori School,4701037,E,68.9,77.7,8.799999999999997,12.772133526850501
2021,"Beaufort County School
District",Okatie Elementary,0701029,E,84.3,93,8.700000000000003,10.320284697508901
2021,Horry County Schools,St James Elementary School,2601030,E,88.1,96.8,8.700000000000003,9.875141884222478
2021,"Beaufort County School
District",Port Royal Elementary School,0701016,E,74.3,82.9,8.600000000000009,11.57469717362047
2021,"Lexington School District
Two",Busbee Creative Arts Academy,3202017,M,75.6,84.2,8.600000000000009,11.375661375661387
2021,"Barnwell School District
45",Barnwell Elementary School,0645012,E,66,74.6,8.599999999999994,13.030303030303022
2021,"Beaufort County School
District",Bluffton Middle School,0701035,M,74.5,83,8.5,11.409395973154362
2021,"Charleston County School
District",Military Magnet Academy,1001018,H,76.5,84.9,8.400000000000006,10.980392156862752
2021,"Greenwood School
District 50",Eleanor S. Rice Elementary School,2450008,E,79.3,87.7,8.400000000000006,10.592686002522075
2021,"Laurens County School
District 55",Waterloo Elementary,3055014,E,77.3,85.6,8.299999999999997,10.737386804657177
2021,"Spartanburg School
District Two",Oakland Elementary,4202088,E,79.5,87.8,8.299999999999997,10.44025157232704
2021,"School District Of
Newberry County",Newberry Middle,3601020,M,76.7,84.9,8.200000000000003,10.691003911342897
2021,"Spartanburg School
District One",Landrum Middle School,4201087,M,86.8,94.9,8.100000000000009,9.331797235023052
2021,"School District Of
Newberry County",Pomaria-Garmany Elementary School,3601009,E,85.2,93.3,8.099999999999994,9.507042253521119
2021,"Aiken County Public
School District",Belvedere Elementary School,0201019,E,83.7,91.7,8,9.557945041816009
2021,Sumter Schools,Alice Drive Elementary,4301026,E,87.1,95.1,8,9.184845005740529
2021,"Charleston County School
District",Mt. Zion Elementary,1001095,E,76.8,84.7,7.900000000000006,10.286458333333341
2021,Horry County Schools,Waterway Elementary,2601067,E,87.6,95.5,7.900000000000006,9.018264840182654
2021,"Laurens County School
District 56",Clinton Elementary School,3056019,E,80.4,88.3,7.8999999999999915,9.825870646766157
2021,"Richland School District
One",Gadsden Elementary,4001036,E,78.6,86.4,7.800000000000011,9.923664122137419
2021,"Charleston County School
District",Haut Gap Middle School,1001044,M,77.3,85,7.700000000000003,9.961190168175941
2021,Dillon School District Four,Lake View High School,1704002,H,89.6,97.3,7.700000000000003,8.593750000000004
2021,"Richland School District
One",Hyatt Park Elementary,4001042,E,67.1,74.8,7.700000000000003,11.47540983606558
2021,"Charleston County School
District",St. James Santee Elementary-Middle,1001056,E,75.1,82.7,7.6000000000000085,10.11984021304928
2021,"Lexington County School
District One",Pelion Elementary School,3201008,E,81.2,88.8,7.599999999999994,9.359605911330043
2021,"Spartanburg School
District Two",Carlisle-Foster's Grove Elementary,4202087,E,85.9,93.5,7.599999999999994,8.84749708963911
2021,"South Carolina Public
Charter School District",East Point Academy,4701013,E,74.5,82,7.5,10.06711409395973
2021,"Charleston County School
District",Edith L. Frierson Elementary,1001075,E,56.5,63.9,7.399999999999999,13.09734513274336
2021,"The School District Of
Greenville County",Southside High School,2301018,H,77.2,84.6,7.3999999999999915,9.585492227979262
2021,"Beaufort County School
District",Bluffton High School,0701030,H,84,91.3,7.299999999999997,8.690476190476188
2021,"Darlington County School
District",Rosenwald Elementary/Middle School,1601020,E,80.5,87.8,7.299999999999997,9.068322981366455
2021,Lancaster,Discovery Charter Of Lancaster,2901611,E,57,64.3,7.299999999999997,12.807017543859644
2021,"Lexington County School
District One",Gilbert High School,3201001,H,84,91.3,7.299999999999997,8.690476190476188
2021,"Richland School District
Two",Bridge Creek Elementary,4002096,E,78.3,85.6,7.299999999999997,9.32311621966794
2021,"Spartanburg School
District 5",Beech Springs Intermediate School,4205089,E,83.1,90.3,7.200000000000003,8.664259927797838
2021,"Richland School District
One",Burton-Pack Elementary School,4001089,E,75.4,82.6,7.199999999999989,9.54907161803712
2021,"Charleston County School
District",Burke High,1001010,H,68.6,75.7,7.1000000000000085,10.349854227405261
2021,"Spartanburg School
District Two",Boiling Springs Elementary School,4202015,E,85.3,92.4,7.1000000000000085,8.323563892145378
2021,"Richland School District
One",John P Thomas Elementary,4001062,E,73,80.1,7.099999999999994,9.726027397260266
2021,"Abbeville County School
District",Cherokee Trail Elementary,0160018,E,89.4,96.4,7,7.829977628635346
2021,"Charleston County School
District",Memminger Elementary,1001057,E,73.3,80.3,7,9.549795361527966
2021,Dillon School District Four,Dillon Middle School,1704010,M,79.3,86.3,7,8.827238335435057
2021,"Spartanburg School
District 5",Florence Chapel Middle,4205092,M,82.4,89.4,7,8.49514563106796
2021,"Anderson School District
Five",Glenview Middle School,0405064,M,80,86.9,6.900000000000006,8.625000000000007
2021,"Darlington County School
District",Hartsville Middle School,1601004,M,81.8,88.7,6.900000000000006,8.435207823960887
2021,"Darlington County School
District",Spaulding Middle School,1601010,M,75,81.9,6.900000000000006,9.200000000000008
2021,"The School District Of
Greenville County",Sterling School,2301116,E,81.5,88.4,6.900000000000006,8.466257668711663
2021,"Spartanburg School
District Two",Boiling Springs Intermediate School,4202024,E,72.1,79,6.900000000000006,9.570041608876569
2021,Bamberg School District 1,Richard Carroll Elementary,0501006,E,88.4,95.3,6.8999999999999915,7.805429864253384
2021,"Beaufort County School
District",Pritchardville Elementary School,0701037,E,76.8,83.6,6.799999999999997,8.854166666666663
2021,"Kershaw County School
District",Bethune Elementary,2801011,E,65.3,72,6.700000000000003,10.260336906584998
2021,Hampton 2,Estill High School,2502011,H,72.8,79.4,6.6000000000000085,9.065934065934078
2021,"Jasper County School
District",Ridgeland Elementary School,2701011,E,70.8,77.3,6.5,9.180790960451978
2021,"Spartanburg School
District Two",Rainbow Lake Middle School,4202089,M,82.2,88.7,6.5,7.907542579075426
2021,York School District One,Cotton Belt Elementary,4601047,E,87.6,94.1,6.5,7.420091324200914
2021,"Laurens County School
District 55",Sanders Middle School,3055013,M,67.5,73.9,6.400000000000006,9.48148148148149
2021,Saluda,Saluda Middle School,4101005,M,78.9,85.3,6.3999999999999915,8.111533586818746
2021,"Richland School District
Two","Killian Elementary Steam Leaders
Magnet",4002086,E,81.1,87.4,6.300000000000011,7.7681874229346635
2021,"Clarendon School District
Two",Manning High School,1402007,H,75,81.3,6.299999999999997,8.399999999999997
2021,"Cherokee County School
District 1",Limestone Central Elementary School,1101021,E,86.1,92.3,6.200000000000003,7.200929152148667
2021,Lancaster,Brooklyn Springs Elementary,2901011,E,78.2,84.4,6.200000000000003,7.928388746803073
2021,"School District Of Oconee
County",Tamassee-Salem Elementary School,3701020,E,84.3,90.5,6.200000000000003,7.354685646500597
2021,"Spartanburg School
District One",New Prospect Elementary,4201011,E,83.5,89.7,6.200000000000003,7.425149700598806
2021,"Mccormick County School
District",Mccormick High School,3301001,H,73.1,79.2,6.1000000000000085,8.344733242134076
2021,"Richland School District
One",W. G. Sanders Middle School,4001034,M,73.1,79.2,6.1000000000000085,8.344733242134076
2021,"Berkeley County School
District",Marrington Middle School Of The Arts,0801034,M,85.7,91.8,6.099999999999994,7.117852975495909
2021,"Fairfield County School
District",Fairfield Central High School,2001013,H,79.5,85.6,6.099999999999994,7.67295597484276
2021,"Aiken County Public
School District","Ridge Spring-Monetta Elementary
School",0201059,E,72.8,78.8,6,8.241758241758241
2021,"Greenwood School
District 50",Woodfields Elementary,2450018,E,80.6,86.6,6,7.444168734491316
2021,Horry County Schools,Whittemore Park Middle,2601013,M,76.7,82.7,6,7.822685788787484
2021,"Lexington County School
District One",Meadow Glen Middle School,3201068,M,83.6,89.6,6,7.177033492822966
2021,Saluda,Hollywood Elementary School,4101010,E,86.7,92.7,6,6.920415224913494
2021,"Spartanburg School
District Two","Cooley Springs-Fingerville Elementary
School",4202019,E,79.7,85.7,6,7.528230865746549
2021,"Spartanburg County
School District Six",Anderson Mill Elementary School,4206088,E,82.9,88.9,6,7.23763570566948
2021,"Berkeley County School
District",Timberland High School,0801043,H,78.5,84.4,5.900000000000006,7.515923566878987
2021,"Charleston County School
District",Baptist Hill Middle High School,1001001,H,66.1,72,5.900000000000006,8.925869894099858
2021,"Charleston County School
District",James Simons Montessori,1001079,E,73.3,79.2,5.900000000000006,8.049113233287866
2021,"Charleston County School
District",James B. Edwards Elementary,1001093,E,81,86.9,5.900000000000006,7.283950617283957
2021,"Richland School District
One",South Kilbourne Elementary,4001055,E,70.6,76.5,5.900000000000006,8.356940509915024
2021,Horry County Schools,Seaside Elementary School,2601050,E,85.1,90.9,5.800000000000011,6.815511163337264
2021,"School District Five Of
Lexington & Richland
Count",Irmo Middle School,3205040,M,80.1,85.9,5.800000000000011,7.240948813982537
2021,"School District Five Of
Lexington & Richland
Count",Chapin Elementary School,3205041,E,83.1,88.9,5.800000000000011,6.979542719614935
2021,"Kershaw County School
District",North Central Middle School,2801025,M,79.9,85.7,5.799999999999997,7.259073842302874
2021,Horry County Schools,Conway Middle School,2601017,M,78.5,84.2,5.700000000000003,7.26114649681529
2021,"Marion County School
District",Marion High School,3410002,H,79.8,85.5,5.700000000000003,7.142857142857147
2021,"School District Of
Newberry County",Newberry High School,3601001,H,79.8,85.4,5.6000000000000085,7.017543859649134
2021,"Richland School District
One",Columbia High School,4001002,H,81.5,87.1,5.599999999999994,6.871165644171773
2021,"Cherokee County School
District 1",Mary Bramlett Elementary School,1101011,E,81.5,87,5.5,6.748466257668712
2021,"Chesterfield County
School District",Pageland Elementary,1301027,E,78.2,83.7,5.5,7.033248081841433
2021,"Dorchester School District
Two",Summerville Elementary School,1802009,E,76.9,82.4,5.5,7.152145643693107
2021,"Dorchester School District
Two",Joseph R. Pye Elementary,1802028,E,76.6,82.1,5.5,7.1801566579634475
2021,Dorchester District Four,Woodland High School,1804019,H,84.4,89.9,5.5,6.516587677725118
2021,"Ware Shoals School
District 51",Ware Shoals Primary School,2451022,E,80.9,86.4,5.5,6.798516687268232
2021,Horry County Schools,Burgess Elementary School,2601063,E,85.9,91.4,5.5,6.402793946449359
2021,"Lexington County School
District One",Red Bank Elementary School,3201011,E,81.8,87.2,5.400000000000006,6.601466992665044
2021,"Berkeley County School
District",Sangaree Middle School,0801047,M,78.9,84.3,5.3999999999999915,6.844106463878316
2021,"Florence School District
Three",Scranton Elementary Steam Academy,2103039,E,83.4,88.8,5.3999999999999915,6.474820143884881
2021,"Richland School District
One",Dreher High School,4001004,H,83.9,89.3,5.3999999999999915,6.436233611442183
2021,"Richland School District
Two",Langford Elementary,4002097,E,79.9,85.3,5.3999999999999915,6.758448060075082
2021,"Charleston County School
District",Minnie Hughes Elementary,1001045,E,77.4,82.7,5.299999999999997,6.8475452196382385
2021,"Chesterfield County
School District",Edwards Elementary School,1301014,E,85.8,91.1,5.299999999999997,6.177156177156174
2021,Florence One Schools,John W. Moore Middle School,2101002,M,77.9,83.2,5.299999999999997,6.803594351732987
2021,"Richland School District
Two",North Springs Elementary,4002080,E,75.4,80.7,5.299999999999997,7.029177718832886
2021,"Colleton County School
District",Colleton County High School,1501005,H,79.2,84.4,5.200000000000003,6.565656565656569
2021,"Spartanburg School
District 5",Lyman Elementary School,4205095,E,89.6,94.8,5.200000000000003,5.803571428571432
2021,"Darlington County School
District",Darlington Middle School,1601031,M,76.4,81.6,5.199999999999989,6.806282722513074
2021,"School District Of
Newberry County",Newberry Elementary School,3601018,E,78.9,84.1,5.199999999999989,6.590621039290226
2021,"Anderson School District
Three",Iva Elementary School,0403024,E,82.3,87.4,5.1000000000000085,6.196840826245454
2021,"The School District Of
Greenville County",Oakview Elementary School,2301108,E,83.8,88.9,5.1000000000000085,6.085918854415285
2021,Sumter Schools,Millwood Elementary School,4301033,E,80.7,85.8,5.099999999999994,6.319702602230476
2021,Allendale County Schools,Allendale-Fairfax Middle School,0301008,M,67.6,72.6,5,7.396449704142012
2021,"Dorchester School District
Two",William Reeves Elementary,1802025,E,85.1,90.1,5,5.875440658049355
2021,Lancaster,North Elementary School,2901014,E,80.5,85.5,5,6.211180124223603
2021,"School District Of Pickens
County",Pickens Elementary,3901025,E,84.4,89.4,5,5.924170616113743
2021,"Richland School District
One",Crayton Middle School,4001031,M,80.9,85.9,5,6.1804697156983925
2021,Sumter Schools,Sumter High School,4301024,H,82.8,87.8,5,6.038647342995169
2021,"Clover School District
(York 2)",Oakridge Middle School,4602016,M,85.2,90.2,5,5.868544600938967
2021,"Charleston County School
District",North Charleston Elementary,1001067,E,67,71.9,4.900000000000006,7.313432835820905
2021,"Charleston County School
District","North Charleston Creative Arts
Elementary",1001114,E,79.8,84.7,4.900000000000006,6.14035087719299
2021,Horry County Schools,St. James Middle School,2601047,M,83,87.9,4.900000000000006,5.903614457831332
2021,"Clover School District
(York 2)",Clover Middle School,4602013,M,83.8,88.7,4.900000000000006,5.8472553699284076
2021,"South Carolina Public
Charter School District",High Point Academy,4701034,E,75.3,80.2,4.900000000000006,6.507304116865878
2021,Hampton District One,Wade Hampton High School,2501001,H,71.1,75.9,4.800000000000011,6.751054852320691
2021,"Fort Mill School District -
York 4",Banks Trail Middle School,4604057,M,84.1,88.9,4.800000000000011,5.707491082045198
2021,"Aiken County Public
School District",North Augusta Elementary School,0201039,E,80.2,85,4.799999999999997,5.985037406483787
2021,"Anderson School District
Five",New Prospect Elementary School,0405051,E,73.8,78.6,4.799999999999997,6.504065040650403
2021,"The School District Of
Greenville County",Eastside High,2301006,H,89.8,94.6,4.799999999999997,5.345211581291757
2021,Sumter Schools,Hillcrest Middle School,4301004,M,78.5,83.3,4.799999999999997,6.114649681528659
2021,Lancaster,Andrew Jackson Middle School,2901027,M,85.6,90.3,4.700000000000003,5.49065420560748
2021,"Spartanburg County
School District Six","Pauline-Glenn Springs Elementary
School",4206062,E,90.7,95.4,4.700000000000003,5.181918412348404
2021,Sumter Schools,Kingsbury Elementary School,4301041,E,87.3,91.9,4.6000000000000085,5.269186712485691
2021,"Anderson School District
One",Palmetto Middle School,0401012,M,87.4,92,4.599999999999994,5.263157894736835
2021,"Beaufort County School
District",Robert Smalls International Academy,0701040,E,72.9,77.5,4.599999999999994,6.310013717421116
2021,Horry County Schools,"North Myrtle Beach High Shool
",2601002,H,87.5,92.1,4.599999999999994,5.257142857142851
2021,"Richland School District
One",Alcorn Middle School,4001019,M,70.2,74.8,4.599999999999994,6.552706552706544
2021,"Aiken County Public
School District",Redcliffe Elementary School,0201055,E,84.8,89.3,4.5,5.306603773584905
2021,"Edgefield County School
District",Merriwether Elementary School,1901008,E,88.8,93.3,4.5,5.0675675675675675
2021,"The School District Of
Greenville County",Cherrydale Elementary,2301114,E,83.2,87.7,4.5,5.408653846153846
2021,Hampton District One,Hampton Elementary School,2501006,E,82.1,86.6,4.5,5.481120584652863
2021,Lancaster,Andrew Jackson High School,2901007,H,88.5,93,4.5,5.084745762711865
2021,"Marion County School
District",Mccormick Elementary School,3410010,E,74.2,78.7,4.5,6.064690026954177
2021,"Barnwell School District
45",Guinyard Butler Middle,0645010,M,77.8,82.2,4.400000000000006,5.655526992287925
2021,"Charleston County School
District",James Island Charter High,1001616,H,88,92.4,4.400000000000006,5.000000000000006
2021,"Cherokee County School
District 1",Corinth Elementary School,1101009,E,90.5,94.9,4.400000000000006,4.86187845303868
2021,"Dorchester School District
Two",Flowertown Elementary School,1802014,E,85,89.4,4.400000000000006,5.1764705882353015
2021,"Kershaw County School
District",Lugoff-Elgin Middle School,2801016,M,82.6,87,4.400000000000006,5.326876513317198
2021,"Lexington County School
District One",Meadow Glen Elementary School,3201067,E,85.3,89.7,4.400000000000006,5.158264947245025
2021,"Berkeley County School
District",Westview Elementary School,0801031,E,78.6,82.9,4.300000000000011,5.47073791348602
2021,Lancaster,Buford Elementary School,2901012,E,89.1,93.4,4.300000000000011,4.826038159371506
2021,"Beaufort County School
District",Riverview Charter School,0701601,E,89.2,93.5,4.299999999999997,4.82062780269058
2021,"Florence School District
Five",Johnsonville Elementary School,2105047,E,88.5,92.8,4.299999999999997,4.858757062146889
2021,"Kershaw County School
District",Baron Dekalb Elementary School,2801010,E,86.8,91.1,4.299999999999997,4.953917050691241
2021,"Richland School District
Two","Lake Carolina Elementary Upper
Campus",4002102,E,82.4,86.7,4.299999999999997,5.218446601941744
2021,"Spartanburg School
District Three",Middle School Of Pacolet,4203027,M,76.3,80.6,4.299999999999997,5.635648754914806
2021,"Greenwood School
District 50",Brewer Middle School,2450017,M,83,87.2,4.200000000000003,5.060240963855425
2021,"School District Five Of
Lexington & Richland
Count",Dutch Fork Elementary,3205042,E,81.1,85.3,4.200000000000003,5.17879161528977
2021,"Charleston County School
District",Matilda F. Dunston Elementary,1001072,E,69.8,73.9,4.1000000000000085,5.8739255014326774
2021,"Richland School District
One",W.J. Keenan High School,4001012,H,84.8,88.9,4.1000000000000085,4.834905660377369
2021,"Beaufort County School
District","Michael C. Riley Elementary And
Early Childhood Center",0701017,E,83.7,87.8,4.099999999999994,4.898446833930699
2021,Sumter Schools,Crosswell Drive Elementary,4301029,E,82.4,86.5,4.099999999999994,4.975728155339799
2021,"The School District Of
Greenville County","Monaview Elementary School
",2301069,E,83.6,87.6,4,4.784688995215311
2021,"The School District Of
Greenville County",Langston Charter Middle School,2301612,M,93.3,97.3,4,4.287245444801715
2021,"Ware Shoals School
District 51","Ware Shoals Elementary Middle
School",2451024,M,79.1,83.1,4,5.056890012642225
2021,"Kershaw County School
District",North Central High School,2801003,H,85.6,89.6,4,4.672897196261683
2021,York School District One,Jefferson Elementary,4601008,E,81.1,85.1,4,4.932182490752158
2021,"Rock Hill School District
(York 3)",York Road Elementary School,4603035,E,79.8,83.8,4,5.012531328320803
2021,"Charleston County School
District",Chicora Elementary,1001033,E,68,71.9,3.9000000000000057,5.735294117647067
2021,Florence One Schools,Dewey L. Carter Elementary School,2101019,E,82,85.9,3.9000000000000057,4.756097560975617
2021,"Laurens County School
District 55",Laurens District 55 High School,3055004,H,81.4,85.3,3.8999999999999915,4.7911547911547805
2021,"Lexington County School
District One","Carolina Springs Middle School
",3201063,M,82.7,86.6,3.8999999999999915,4.715840386940739
