district.x,school.x,school_id,type,e_pct_me_21,e_pct_me_17,change_over_time,percent_change_over_time
"Horry County
Schools",Daisy Elementary,2601021,E,41.7,27.4,14.300000000000004,52.18978102189783
"Kershaw County
School District",Bethune Elementary,2801011,E,42.6,28,14.600000000000001,52.142857142857146
"Charleston
County School
District",Murray-Lasaine Montessori,1001066,E,57.9,38.1,19.799999999999997,51.96850393700786
"Bamberg
School District 1",Richard Carroll Elementary,0501006,E,36.2,23.9,12.300000000000004,51.464435146443535
"Cherokee
County School
District 1","Draytonville Elementary
School",1101010,E,33.8,22.4,11.399999999999999,50.89285714285714
"Richland School
District One",Logan Elementary School,4001045,E,38.8,25.8,12.999999999999996,50.387596899224796
"Spartanburg
County School
District Six","Pauline-Glenn Springs
Elementary School",4206062,E,60,40.4,19.6,48.51485148514852
"Richland School
District One",Gadsden Elementary,4001036,E,31.7,21.4,10.3,48.13084112149533
"Beaufort County
School District","Joseph S. Shanklin
Elementary",0701022,E,30.3,20.5,9.8,47.804878048780495
"Fairfield County
School District",Fairfield Elementary School,2001014,E,16.5,11.3,5.199999999999999,46.01769911504424
"Cherokee
County School
District 1","Luther Vaughan
Elementary",1101019,E,19.4,13.3,6.099999999999998,45.86466165413532
"Spartanburg
School District
Seven","The Cleveland Academy Of
Leadership",4207077,E,21.4,14.9,6.499999999999998,43.62416107382549
"Charleston
County School
District",Memminger Elementary,1001057,E,15.5,10.8,4.699999999999999,43.518518518518505
"Spartanburg
School District
Seven","Jesse W. Boyd Elementary
School",4207074,E,54.9,38.400000000000006,16.499999999999993,42.96874999999998
"Charleston
County School
District","Malcolm C. Hursey
Montessori",1001070,E,39.8,27.9,11.899999999999999,42.65232974910394
"Beaufort County
School District",Red Cedar Elementary,0701034,E,53.9,37.8,16.1,42.592592592592595
"Fairfield County
School District","Fairfield Magnet School For
Math And Science",2001015,E,61.4,43.1,18.299999999999997,42.45939675174013
"Chesterfield
County School
District","Edwards Elementary
School",1301014,E,43,30.4,12.600000000000001,41.44736842105264
"Hampton
District One","Hampton Elementary
School",2501006,E,39.4,28,11.399999999999999,40.71428571428571
"Chesterfield
County School
District","Cheraw Intermediate
School",1301026,E,26.3,18.7,7.600000000000001,40.64171122994653
"South Carolina
Public Charter
School District","Lowcountry Montessori
School",4701037,E,48.4,34.8,13.600000000000001,39.08045977011495
"York School
District One",Jefferson Elementary,4601008,E,35.6,25.6,10,39.0625
"Aiken County
Public School
District","Ridge Spring-Monetta
Elementary School",0201059,E,27.8,20,7.800000000000001,39
"Darlington
County School
District","Rosenwald
Elementary/Middle School",1601020,E,18.2,13.2,5,37.878787878787875
"York School
District One","Hickory Grove Sharon
Elementary",4601045,E,40.2,29.2,11.000000000000004,37.67123287671234
"Anderson
School District
Three",Starr Elementary,0403026,E,60,43.6,16.4,37.61467889908256
"Spartanburg
School District
Two","Boiling Springs Elementary
School",4202015,E,57.8,42.3,15.5,36.643026004728135
"School District
Of Newberry
County","Whitmire Community
School",3601021,E,50,36.8,13.200000000000003,35.86956521739131
"School District
Of Pickens
County",West End Elementary,3901028,E,46.7,34.4,12.300000000000004,35.755813953488385
"Darlington
County School
District","St. John's Elementary
School",1601026,E,29.7,21.9,7.800000000000001,35.61643835616439
"Anderson
School District
One",Palmetto Elementary,0401004,E,46.6,34.4,12.200000000000003,35.465116279069775
"Beaufort County
School District","St. Helena Elementary
School",0701020,E,21.3,15.9,5.4,33.9622641509434
Lancaster,Buford Elementary School,2901012,E,50,37.4,12.600000000000001,33.68983957219252
"Spartanburg
School District
Three",Pacolet Elementary School,4203034,E,47.1,35.3,11.800000000000004,33.42776203966007
"Greenwood
School District
50",Hodges Elementary School,2450016,E,48.1,36.2,11.899999999999999,32.872928176795575
"The School
District Of
Greenville
County","Fountain Inn Elementary
School",2301058,E,47.6,35.900000000000006,11.699999999999996,32.59052924791085
"Cherokee
County School
District 1",Corinth Elementary School,1101009,E,49.3,37.2,12.099999999999994,32.52688172043009
"Spartanburg
County School
District Six","Lone Oak Elementary
School",4206061,E,25.8,19.5,6.300000000000001,32.30769230769231
"Laurens County
School District
56",Eastside Elementary,3056023,E,33.3,25.2,8.099999999999998,32.14285714285713
"Spartanburg
School District
Seven",Ep Todd School,4207075,E,32,24.4,7.600000000000001,31.147540983606564
"Florence One
Schools","Dewey L. Carter
Elementary School",2101019,E,34.6,26.4,8.200000000000003,31.060606060606073
"Williston School
District
(Barnwell 29)","Kelly Edwards Elementary
School",0629007,E,31.7,24.200000000000003,7.4999999999999964,30.991735537190063
"Beaufort County
School District","Broad River Elementary
School",0701010,E,44.4,33.9,10.5,30.973451327433633
"Union County
Schools","Monarch Elementary
School",4401017,E,34.8,26.6,8.199999999999996,30.827067669172912
"Horry County
Schools",Seaside Elementary School,2601050,E,60,46,14,30.434782608695656
"Richland School
District One",Carolina School For Inquiry,4001603,E,42.1,32.3,9.800000000000004,30.340557275541812
"Beaufort County
School District","Hilton Head Island
Elementary School For The
Creative Arts",0701032,E,48.1,37,11.100000000000001,30.000000000000004
"Aiken County
Public School
District","Oakwood-Windsor
Elementary",0201054,E,28.2,21.8,6.399999999999999,29.357798165137606
"School District
Of Newberry
County","Little Mountain Elementary
School",3601010,E,54.8,42.400000000000006,12.399999999999991,29.2452830188679
"Kershaw County
School District",Wateree Elementary,2801022,E,52,40.3,11.700000000000003,29.032258064516135
"Kershaw County
School District",Pine Tree Hill Elementary,2801021,E,51.4,40,11.399999999999999,28.499999999999996
"Anderson
District 4","La France Elementary
School",0404031,E,63.6,49.5,14.100000000000001,28.484848484848484
"Chester County
School District","Lewisville Elementary
School",1201014,E,42.3,33,9.299999999999997,28.181818181818173
"Spartanburg
School District
Seven","Mary H. Wright Elementary
School",4207085,E,21.2,16.6,4.599999999999998,27.710843373493958
"Laurens County
School District
55","Gray Court-Owings
Elementary/Middle School",3055016,E,23.6,18.5,5.100000000000001,27.567567567567576
"Richland School
District Two",Joseph Keels Elementary,4002075,E,26.9,21.1,5.799999999999997,27.488151658767755
"Anderson
School District
Two",Belton Elementary School,0402013,E,47.8,37.5,10.299999999999997,27.46666666666666
"The School
District Of
Greenville
County",Mountain View Elementary,2301071,E,67.2,52.9,14.300000000000004,27.032136105860122
"Charleston
County School
District",Jane Edwards Elementary,1001039,E,23.5,18.5,5,27.027027027027028
"Beaufort County
School District",Coosa Elementary School,0701025,E,72.5,57.2,15.299999999999997,26.748251748251743
"South Carolina
Public Charter
School District",High Point Academy,4701034,E,44.3,35.1,9.199999999999996,26.2108262108262
Clarendon 1,"Dr. Rose H.Wilder
Elementary",1401005,E,24.1,19.1,5,26.17801047120419
"Aiken County
Public School
District","North Aiken Elementary
School",0201038,E,19.3,15.3,4,26.143790849673206
Lancaster,"Heath Springs Elementary
School",2901019,E,41.1,32.6,8.5,26.07361963190184
"Horry County
Schools","St James Elementary
School",2601030,E,67.4,53.5,13.900000000000006,25.981308411214965
"Cherokee
County School
District 1","Mary Bramlett Elementary
School",1101011,E,9.8,7.800000000000001,2,25.64102564102564
"Kershaw County
School District",Blaney Elementary School,2801012,E,47.7,38,9.700000000000003,25.526315789473692
"Anderson
School District
Five",Mclees Elementary,0405062,E,48.5,38.7,9.799999999999997,25.322997416020666
"Rock Hill School
District (York 3)","Ebenezer Avenue
Elementary",4603022,E,45.7,36.5,9.200000000000003,25.205479452054803
"School District
Of Oconee
County","Ravenel Elementary
School",3701017,E,49.2,39.3,9.900000000000006,25.190839694656503
"Lexington
County School
District One","Red Bank Elementary
School",3201011,E,45.6,36.5,9.100000000000001,24.93150684931507
"Cherokee
County School
District 1","Blacksburg Elementary
School",1101020,E,38,30.5,7.5,24.59016393442623
"Anderson
School District
Two","Honea Path Elementary
School",0402018,E,44.7,35.9,8.800000000000004,24.512534818941518
"Clover School
District (York 2)",Bethel Elementary School,4602012,E,68.1,54.7,13.399999999999991,24.497257769652634
"Horry County
Schools",Conway Elementary School,2601036,E,55.4,44.5,10.899999999999999,24.494382022471907
"School District
Of Oconee
County","Tamassee-Salem
Elementary School",3701020,E,44.9,36.099999999999994,8.800000000000004,24.376731301939074
"The School
District Of
Greenville
County",Mauldin Elementary School,2301067,E,53.9,43.5,10.399999999999999,23.90804597701149
"Marlboro
County School
District","Bennettsville Intermediate
School",3501029,E,16.6,13.4,3.200000000000001,23.88059701492538
"Lexington
School District
Two",Springdale Elementary,3202024,E,55,44.4,10.600000000000001,23.873873873873876
"The School
District Of
Greenville
County",Ellen Woodside,2301100,E,46.3,37.4,8.899999999999999,23.796791443850264
"Richland School
District Two","Lonnie B. Nelson
Elementary School",4002076,E,44.6,36.2,8.399999999999999,23.204419889502756
"Florence School
District Five","Johnsonville Elementary
School",2105047,E,38,30.9,7.100000000000001,22.977346278317157
"The School
District Of
Greenville
County",Greenbrier Elementary,2301101,E,54.1,44,10.100000000000001,22.954545454545457
"Kershaw County
School District","Baron Dekalb Elementary
School",2801010,E,54.2,44.1,10.100000000000001,22.90249433106576
"Charleston
County School
District",Hunley Park Elementary,1001046,E,29.3,23.9,5.400000000000002,22.594142259414234
"Horry County
Schools",South Conway Elementary,2601045,E,44.9,36.7,8.199999999999996,22.343324250681185
"Horry County
Schools",Pee Dee Elementary,2601039,E,43.9,35.9,8,22.284122562674096
"Richland School
District One",A.C. Moore Elementary,4001048,E,45.7,37.4,8.300000000000004,22.192513368983967
"Spartanburg
School District
Two","James H Hendrix
Elementary School",4202020,E,46.9,38.5,8.399999999999999,21.818181818181813
"Horry County
Schools",Palmetto Bays Elementary,2601056,E,49.2,40.5,8.700000000000003,21.481481481481488
"Florence One
Schools",North Vista Elementary,2101016,E,29,24,5,20.833333333333336
"Greenwood
School District
52","Ninety Six Elementary
School",2452027,E,53.4,44.3,9.100000000000001,20.541760722347636
"Spartanburg
School District 5","Wellford Academy Of
Science And Technology",4205052,E,44.3,36.8,7.5,20.3804347826087
Sumter Schools,Alice Drive Elementary,4301026,E,45.8,38.1,7.699999999999996,20.209973753280828
"The School
District Of
Greenville
County","Monaview Elementary
School",2301069,E,25.6,21.3,4.300000000000001,20.187793427230048
"Marlboro
County School
District",Clio Elementary School,3501023,E,16.9,14.1,2.799999999999999,19.858156028368786
"Spartanburg
School District
One","Holly Springs-Motlow
Elementary",4201009,E,52.6,43.9,8.700000000000003,19.81776765375855
"Spartanburg
School District
Two","Chesnee Elementary
School",4202018,E,52.3,43.7,8.599999999999994,19.679633867276873
"Beaufort County
School District","Mossy Oaks Elementary
School",0701015,E,46.7,39.1,7.600000000000001,19.43734015345269
"The School
District Of
Greenville
County",Blythe Academy,2301038,E,60.6,50.8,9.800000000000004,19.291338582677177
"Richland School
District One","Edward E. Taylor
Elementary School",4001053,E,23.8,20,3.8000000000000007,19.000000000000004
"The School
District Of
Greenville
County",Bethel Elementary School,2301037,E,60.4,50.9,9.5,18.664047151277014
"School District
Of Pickens
County",Forest Acres Elementary,3901018,E,54.7,46.099999999999994,8.600000000000009,18.655097613882884
Lancaster,"Indian Land Elementary
School",2901021,E,66.2,55.8,10.400000000000006,18.63799283154123
"Lexington
School District
Four",Sandhills Elementary,3204039,E,17.9,15.1,2.799999999999999,18.543046357615886
"The School
District Of
Greenville
County","Stone Academy Of
Communication Arts",2301085,E,74.3,62.7,11.599999999999994,18.50079744816586
"Spartanburg
County School
District Six","Anderson Mill Elementary
School",4206088,E,48.5,41,7.5,18.29268292682927
"Fairfield County
School District",Geiger Elementary,2001012,E,36.4,30.8,5.599999999999998,18.181818181818173
"South Carolina
Public Charter
School District","Cape Romain
Environmental Education
Charter School",4701019,E,67.4,57.099999999999994,10.300000000000011,18.038528896672528
"The School
District Of
Greenville
County","Crestview Elementary
School",2301047,E,45.5,38.6,6.899999999999999,17.87564766839378
"Anderson
School District
One",Wren Elementary,0401013,E,70,59.5,10.5,17.647058823529413
"Anderson
School District
One","Hunt Meadows Elementary
School",0401014,E,53.4,45.4,8,17.62114537444934
"Spartanburg
County School
District Six","Jesse S. Bobo Elementary
School",4206065,E,18.7,15.9,2.799999999999999,17.610062893081754
"The School
District Of
Greenville
County",Mitchell Road Elementary,2301068,E,57.6,49,8.600000000000001,17.551020408163268
"Anderson
School District
One","West Pelzer Elementary
School",0401009,E,43.6,37.099999999999994,6.500000000000007,17.520215633423202
"Spartanburg
School District 5","Duncan Elementary School
Of The Arts",4205046,E,35.6,30.4,5.200000000000003,17.105263157894747
"York School
District One",Hunter Street Elementary,4601046,E,50,42.7,7.299999999999997,17.09601873536299
"Beaufort County
School District",Lady's Island Elementary,0701014,E,35.2,30.1,5.100000000000001,16.943521594684388
"Charleston
County School
District",Springfield Elementary,1001081,E,41,35.1,5.899999999999999,16.8091168091168
"Aiken County
Public School
District",Byrd Elementary,0201021,E,35.5,30.4,5.100000000000001,16.77631578947369
"School District
Of Oconee
County","Fair-Oak Elementary
School",3701027,E,47.5,40.7,6.799999999999997,16.707616707616697
Saluda,"Hollywood Elementary
School",4101010,E,46.2,39.6,6.600000000000001,16.666666666666668
"Lexington
School District
Two","Congaree Elementary
School",3202019,E,24.5,21,3.5,16.666666666666664
"Spartanburg
School District 5",Lyman Elementary School,4205095,E,52,44.6,7.399999999999999,16.59192825112107
"Colleton County
School District","Cottageville Elementary
School",1501011,E,27.2,23.4,3.8000000000000007,16.239316239316242
"School District
Of Pickens
County",Dacusville Elementary,3901016,E,43.2,37.2,6,16.129032258064516
"Aiken County
Public School
District","East Aiken School Of The
Arts",0201027,E,44.9,38.7,6.199999999999996,16.02067183462531
"Charleston
County School
District","James B. Edwards
Elementary",1001093,E,67,57.8,9.200000000000003,15.916955017301044
Lancaster,"Kershaw Elementary
School",2901023,E,27.9,24.1,3.799999999999997,15.767634854771773
"The School
District Of
Greenville
County","Thomas E. Kerns
Elementary School",2301115,E,28.2,24.4,3.8000000000000007,15.573770491803282
"Aiken County
Public School
District",Warrenville Elementary,0201052,E,40,34.7,5.299999999999997,15.273775216138318
"Rock Hill School
District (York 3)",Oakdale Steam Elementary,4603030,E,35.5,30.8,4.699999999999999,15.259740259740257
"Kershaw County
School District",Midway Elementary School,2801019,E,33.3,28.9,4.399999999999999,15.224913494809684
"Jasper County
School District","Ridgeland Elementary
School",2701011,E,18.3,15.9,2.4000000000000004,15.094339622641511
"Charleston
County School
District","Sullivan's Island
Elementary",1001086,E,81.3,70.7,10.599999999999994,14.992927864214984
"Beaufort County
School District","Robert Smalls International
Academy",0701040,E,19.2,16.7,2.5,14.970059880239523
"Lexington
County School
District One","Meadow Glen Elementary
School",3201067,E,67.5,58.8,8.700000000000003,14.795918367346944
"Cherokee
County School
District 1","Northwest Eelemntary
School",1101023,E,47,41,6,14.634146341463413
"Florence One
Schools",Briggs Elementary School,2101008,E,48.8,42.6,6.199999999999996,14.55399061032863
"Charleston
County School
District","Mamie P. Whitesides
Elementary",1001090,E,79.4,69.4,10,14.409221902017292
"The School
District Of
Greenville
County","A.J. .Whittenberg
Elementary School Of
Engineering",2301119,E,57.6,50.4,7.200000000000003,14.28571428571429
"Charleston
County School
District","St. Andrew's School Of
Math And Science",1001082,E,58,50.8,7.200000000000003,14.173228346456698
"Clover School
District (York 2)",Kinard Elementary School,4602014,E,42.9,37.6,5.299999999999997,14.095744680851055
"Fort Mill School
District - York 4",Sugar Creek Elementary,4604056,E,60.4,53,7.399999999999999,13.962264150943394
"Charleston
County School
District","East Cooper Montessori
Charter",1001614,E,82,72,10,13.88888888888889
"Hampton
District One","Brunson Elementary
School",2501004,E,41.3,36.3,5,13.774104683195592
"Horry County
Schools","Ocean Drive Elementary
School",2601066,E,60.8,53.5,7.299999999999997,13.644859813084107
"Spartanburg
School District
One",New Prospect Elementary,4201011,E,53,46.7,6.299999999999997,13.490364025695925
"Horry County
Schools",Forestbrook Elementary,2601046,E,62.8,55.4,7.399999999999999,13.357400722021659
"Lexington
School District
Two","Saluda River Academy For
The Arts",3202023,E,44.2,39,5.200000000000003,13.333333333333341
"Horry County
Schools",Riverside Elementary,2601068,E,48.6,42.9,5.700000000000003,13.286713286713296
"The School
District Of
Greenville
County","Gateway Elementary
School",2301027,E,56.3,49.7,6.599999999999994,13.27967806841045
"School District
Five Of
Lexington &
Richland Count","Lake Murray Elementary
School",3205052,E,81.9,72.3,9.600000000000009,13.278008298755198
"Beaufort County
School District","Michael C. Riley
Elementary And Early
Childhood Center",0701017,E,45.5,40.2,5.299999999999997,13.184079601990042
"The School
District Of
Greenville
County",Tigerville Elementary,2301090,E,72.2,63.8,8.400000000000006,13.16614420062697
"Greenwood
School District
50","Mathews Elementary
School",2450011,E,36.1,31.9,4.200000000000003,13.16614420062697
"South Carolina
Public Charter
School District","Spartanburg Preparatory
School",4701006,E,46.6,41.2,5.399999999999999,13.106796116504851
"School District
Of Pickens
County","Clemson Elementary
School",3901023,E,74.3,65.8,8.5,12.917933130699089
"Florence One
Schools","Savannah Grove
Elementary School",2101018,E,29.8,26.4,3.400000000000002,12.878787878787886
Lancaster,"Harrisburg Elementary
School",2901030,E,66.1,58.599999999999994,7.5,12.798634812286691
"Anderson
School District
Three",Flat Rock Elementary,0403027,E,45.3,40.2,5.099999999999994,12.686567164179088
"Fort Mill School
District - York 4",Orchard Park Elementary,4604051,E,76.5,67.9,8.599999999999994,12.665684830633275
"Aiken County
Public School
District","Belvedere Elementary
School",0201019,E,50.9,45.2,5.699999999999996,12.610619469026538
"York School
District One","Harold C. Johnson
Elementary",4601049,E,27.8,24.700000000000003,3.099999999999998,12.550607287449383
"Anderson
School District
Five","Nevitt Forest Elementary
School",0405050,E,22.6,20.1,2.5,12.43781094527363
"Horry County
Schools","Lakewood Elementary
School",2601029,E,62.6,55.7,6.899999999999999,12.387791741472169
"Spartanburg
School District
Seven","Pine Street Elementary
School",4207082,E,70.4,62.7,7.700000000000003,12.280701754385968
"Berkeley County
School District",Philip Simmons Elementary,0801054,E,62.4,55.599999999999994,6.800000000000004,12.230215827338139
"The School
District Of
Greenville
County",Armstrong Elementary,2301031,E,34,30.3,3.6999999999999993,12.211221122112208
"Richland School
District Two",Windsor Elementary,4002077,E,22.6,20.2,2.400000000000002,11.881188118811892
"Edgefield
County School
District","Merriwether Elementary
School",1901008,E,43.2,38.7,4.5,11.627906976744185
"School District
Five Of
Lexington &
Richland Count","H. E. Corley Elementary
School Leadership Magnet
And Montessori M",3205049,E,49.7,44.599999999999994,5.1000000000000085,11.434977578475356
"Kershaw County
School District",Jackson School,2801013,E,27.3,24.5,2.8000000000000007,11.42857142857143
"Beaufort County
School District",Bluffton Elementary,0701024,E,47.4,42.599999999999994,4.800000000000004,11.267605633802829
"Horry County
Schools","River Oaks Elementary
School",2601065,E,55.8,50.2,5.599999999999994,11.155378486055765
"Charleston
County School
District",Angel Oak Elementary,1001083,E,31.6,28.5,3.1000000000000014,10.877192982456146
"Charleston
County School
District",Drayton Hall Elementary,1001109,E,58.4,52.7,5.699999999999996,10.815939278937373
"Lexington
School District
Four","Frances Mack Intermediate
School",3204035,E,18.5,16.7,1.8000000000000007,10.77844311377246
"School District
Of Pickens
County",Liberty Elementary,3901022,E,39.1,35.3,3.8000000000000043,10.76487252124647
"Lexington
County School
District One",Lake Murray Elementary,3201056,E,69.6,62.9,6.699999999999996,10.651828298887116
"Anderson
District 4",Townville Elementary,0404036,E,61.7,55.8,5.900000000000006,10.573476702508971
"Aiken County
Public School
District","Gloverville Elementary
School",0201029,E,44.4,40.2,4.199999999999996,10.44776119402984
"Rock Hill School
District (York 3)","Old Pointe Elementary
School",4603040,E,52,47.1,4.899999999999999,10.403397027600846
"Spartanburg
School District 5",Abner Creek Academy,4205094,E,57.8,52.4,5.399999999999999,10.30534351145038
"The School
District Of
Greenville
County",Berea Elementary School,2301036,E,39.7,36,3.700000000000003,10.277777777777786
"The School
District Of
Greenville
County","Rudolph Gordon School At
Jones Mill",2301117,E,68.9,62.7,6.200000000000003,9.888357256778313
"The School
District Of
Greenville
County",Taylors Elementary School,2301089,E,48.9,44.5,4.399999999999999,9.8876404494382
"South Carolina
Public Charter
School District",Green Charter School,4701026,E,75.1,68.4,6.699999999999989,9.795321637426884
"School District
Of Newberry
County","Prosperity-Rikard
Elementary School",3601022,E,44,40.2,3.799999999999997,9.452736318407952
"Rock Hill School
District (York 3)","Finley Road Elementary
School",4603026,E,25.6,23.4,2.200000000000003,9.401709401709414
"Anderson
School District
Five","North Pointe Elementary
School",0405066,E,64.1,58.6,5.499999999999993,9.385665529010225
"School District
Of Newberry
County",Reuben Elementary,3601015,E,28.3,25.9,2.400000000000002,9.266409266409276
"Anderson
School District
Five","Centerville Elementary
School",0405044,E,40.8,37.4,3.3999999999999986,9.090909090909086
"Anderson
School District
One",Spearman Elementary,0401011,E,58.8,53.900000000000006,4.8999999999999915,9.090909090909074
"Fort Mill School
District - York 4","Gold Hill Elementary
School",4604048,E,78.5,72,6.5,9.027777777777777
"Beaufort County
School District",Okatie Elementary,0701029,E,63.2,58,5.200000000000003,8.965517241379315
"Horry County
Schools","Burgess Elementary
School",2601063,E,62.2,57.1,5.100000000000001,8.931698774080562
"Union County
Schools",Buffalo Elementary School,4401007,E,28.2,25.9,2.3000000000000007,8.880308880308883
"Berkeley County
School District",St. Stephen Elementary,0801028,E,24.7,22.7,2,8.81057268722467
"Edgefield
County School
District","Johnston Elementary
School",1901005,E,27.2,25,2.1999999999999993,8.799999999999997
"Spartanburg
School District
One",Inman Intermediate School,4201088,E,40.8,37.5,3.299999999999997,8.799999999999992
"Kershaw County
School District",Lugoff Elementary School,2801018,E,50.8,46.7,4.099999999999994,8.779443254817973
"Richland School
District One","Rosewood Elementary
School",4001054,E,72.6,66.80000000000001,5.799999999999983,8.682634730538895
"Richland School
District One",Bradley Elementary School,4001024,E,35.2,32.4,2.8000000000000043,8.641975308641989
"Berkeley County
School District",J. K. Gourdin Elementary,0801020,E,35.6,32.8,2.8000000000000043,8.536585365853671
"Horry County
Schools","Bridgewater Academy
Charter",2601601,E,45.2,41.7,3.5,8.393285371702637
"Chester County
School District","The Academy For
Teaching And Learning",1201601,E,29.8,27.5,2.3000000000000007,8.363636363636367
"The School
District Of
Greenville
County","Sue Cleveland Elementary
School",2301043,E,27.9,25.8,2.099999999999998,8.139534883720922
"Dillon School
District Three",Latta Elementary School,1703024,E,48.3,44.8,3.5,7.8125
"Horry County
Schools",Kingston Elementary,2601028,E,47.1,43.7,3.3999999999999986,7.7803203661327185
"The School
District Of
Greenville
County","Slater Marietta Elementary
School",2301084,E,41.6,38.6,3,7.772020725388601
"Charleston
County School
District",Oakland Elementary,1001068,E,47.3,43.900000000000006,3.3999999999999915,7.744874715261939
"Anderson
School District
Five",Midway Elementary School,0405061,E,59.9,55.6,4.299999999999997,7.733812949640282
"Aiken County
Public School
District","North Augusta Elementary
School",0201039,E,46.8,43.5,3.299999999999997,7.586206896551717
"Spartanburg
School District 5","River Ridge Elementary
School",4205090,E,48.7,45.3,3.4000000000000057,7.505518763796923
"Spartanburg
School District 5","Beech Springs
Intermediate School",4205089,E,39.3,36.6,2.6999999999999957,7.377049180327856
"Spartanburg
School District
Two",Oakland Elementary,4202088,E,57.1,53.2,3.8999999999999986,7.33082706766917
"Richland School
District One",Hopkins Elementary School,4001040,E,23.5,21.9,1.6000000000000014,7.305936073059367
"The School
District Of
Greenville
County",Augusta Circle Elementary,2301034,E,85.8,80,5.799999999999997,7.2499999999999964
"The School
District Of
Greenville
County","Heritage Elementary
School",2301107,E,46.8,43.7,3.0999999999999943,7.093821510297469
"The School
District Of
Greenville
County","Robert E. Cashion
Elementary",2301113,E,36.8,34.4,2.3999999999999986,6.976744186046507
"School District
Of Oconee
County",Keowee Elementary School,3701012,E,58,54.3,3.700000000000003,6.813996316758754
"Rock Hill School
District (York 3)","Mount Holly Elementary
School",4603043,E,40.8,38.2,2.5999999999999943,6.806282722513074
"Anderson
School District
Three",Iva Elementary School,0403024,E,49.4,46.3,3.1000000000000014,6.695464362850975
"Fort Mill School
District - York 4","Springfield Elementary
School",4604052,E,56.3,52.8,3.5,6.628787878787879
"The School
District Of
Greenville
County",Fork Shoals School,2301057,E,53.4,50.099999999999994,3.3000000000000043,6.586826347305398
"Chester County
School District","Great Falls Elementary
School",1201011,E,31.3,29.4,1.9000000000000021,6.462585034013612
"Union County
Schools","Foster Park Elementary
School",4401012,E,23.2,21.8,1.3999999999999986,6.422018348623847
"Charleston
County School
District","Orange Grove Charter
School",1001618,E,75.7,71.4,4.299999999999997,6.02240896358543
Sumter Schools,"Pocalla Springs Elementary
School",4301040,E,17.9,16.900000000000002,0.9999999999999964,5.917159763313587
