district_x,school_x,school_id,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,year,district_y,school_y,type,e_pct_me,e_pct_in_need_of_support,m_pct_me,m_pct_in_need_of_support,sc_pct_me,p17_sci1nm,sc_pct_in_need_of_support,total_actively_enrolled_students,gender_female,gender_male,black_or_african_american,white,schoolid,gender_missing,pupils_in_poverty,all_other_races,lat,lon
Abbeville County School District,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,Donald O. Clendaniel III,28.0,2019,Abbeville County School District,Cherokee Trail Elementary School,E,56.0,13.8,61.0,9.4,68.6,,13.7,442.0,200.0,242.0,47.0,386.0,,0.0,259.0,9.0,34.3641167,-82.35564697187262
Abbeville County School District,Cherokee Trail Elementary,160018,E,6219 Hwy 184 E,Donalds,SC,29638,PK-7,440,8643798500,https://www.acsdsc.org/,Donald O. Clendaniel III,28.0,2019,Abbeville County School District,Cherokee Trail Elementary School,M,52.8,17.9,61.3,10.4,78.4,,7.8,442.0,200.0,242.0,47.0,386.0,,0.0,259.0,9.0,34.3641167,-82.35564697187262
Abbeville County School District,Diamond Hill Elementary,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21.0,2018,Abbeville County School District,Diamond Hill,E,50.9,17.9,75.0,7.1,68.6,,2.9,,,,,,,,,,34.2559676,-82.56481013387005
Abbeville County School District,Diamond Hill Elementary,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21.0,2018,Abbeville County School District,Diamond Hill,M,54.7,14.7,52.0,14.7,58.3,,16.7,,,,,,,,,,34.2559676,-82.56481013387005
Abbeville County School District,Diamond Hill Elementary,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21.0,2019,Abbeville County School District,Diamond Hill Elementary,E,43.5,27.0,60.0,13.9,55.8,,16.3,348.0,179.0,169.0,40.0,304.0,,0.0,244.0,4.0,34.2559676,-82.56481013387005
Abbeville County School District,Diamond Hill Elementary,160019,E,104 Lake Secession Road,Abbeville,SC,29620,PK-7,318,864-446-2600,acsdsc.org,Todd Ramey,21.0,2019,Abbeville County School District,Diamond Hill Elementary,M,48.1,22.8,50.6,13.9,51.3,,20.5,348.0,179.0,169.0,40.0,304.0,,0.0,244.0,4.0,34.2559676,-82.56481013387005
Aiken County Public School District,Silver Bluff High School,201001,H,64 DeSoto Drive,Aiken,SC,29803,9-12,650,803-652-8100,www.acpsd.net/sbhs,Dr. Katie Briscoe,37.0,0,,,,,,,,,,,,,,,,,,,,33.3946153,-81.7598026
Aiken County Public School District,Aiken High School,201002,H,449 Rutland Dr.,Aiken,SC,29801,9-12,1244,803-641-2500,www.acpsd.net/ahs,Dr. Jason Holt,75.0,0,,,,,,,,,,,,,,,,,,,,33.58017878523606,-81.71911593605657
Aiken County Public School District,South Aiken High School,201003,H,232 East Pine Log Road,Aiken,SC,29803,9-12,1348,803-641-2600,https://www.acpsd.net/sahs,Samuel A. Fuller,81.0,0,,,,,,,,,,,,,,,,,,,,33.52553527427836,-81.7138803532911
Aiken County Public School District,Jefferson Elementary,201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39.0,2018,Aiken County Public School District,Jefferson Elementary,E,32.8,29.7,35.8,26.7,45.6,,25.3,,,,,,,,,,no_result,no_result
Aiken County Public School District,Jefferson Elementary,201005,E,170 Flint Drive,Warrenville,SC,29851,PK-5,526,803-593-7180,www.acpsd.net/JES,Becky Wilson,39.0,2019,Aiken County Public School District,Jefferson Elementary,E,42.3,30.3,39.3,28.6,54.4,,13.9,576.0,261.0,315.0,109.0,343.0,,0.0,424.0,124.0,no_result,no_result
Aiken County Public School District,Midland Valley High School,201006,H,227 Mustang Drive,Graniteville,SC,29829,9-12,1255,803-593-7100,https://www.acpsd.net/Domain/21,Sheldon Higgenbottom,78.0,0,,,,,,,,,,,,,,,,,,,,no_result,no_result
Aiken County Public School District,Paul Knox Middle School,201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,749,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,39.0,2018,Aiken County Public School District,Paul Knox Middle School,M,43.4,24.8,39.9,26.3,55.5,,20.7,,,,,,,,,,33.528113559491935,-81.97130087425717
Aiken County Public School District,Paul Knox Middle School,201007,M,1804 Wells Road,North Augusta,SC,29841,6-8,749,803-442-6300,https://www.acpsd.net/PKMS,Paige Day,39.0,2019,Aiken County Public School District,Paul Knox Middle School,M,49.2,19.7,42.8,24.7,64.2,,15.0,750.0,367.0,383.0,225.0,413.0,,0.0,411.0,112.0,33.528113559491935,-81.97130087425717
Aiken County Public School District,Langley-Bath-Clearwater Middle School,201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,636,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,38.0,2018,Aiken County Public School District,Langley-Bath-Clearwater Middle School,M,30.9,35.5,25.3,41.3,38.5,,32.9,,,,,,,,,,no_result,no_result
Aiken County Public School District,Langley-Bath-Clearwater Middle School,201008,M,29 Lions Trail,Warrenville,SC,29851,6-8,636,803-593-7260,https://www.acpsd.net/LBC,Casey Rogers,38.0,2019,Aiken County Public School District,Langley-Bath-Clearwater Middle School,M,34.7,32.4,30.0,31.7,51.0,,26.8,645.0,303.0,342.0,93.0,409.0,,0.0,487.0,143.0,no_result,no_result
Aiken County Public School District,Leavelle Mccampbell Middle School,201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,604,803-663-4300,https://www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,37.0,2018,Aiken County Public School District,Leavelle Mccampbell Middle School,M,29.7,34.3,27.0,40.4,45.2,,28.2,,,,,,,,,,no_result,no_result
Aiken County Public School District,Leavelle Mccampbell Middle School,201009,M,1120 Weldon Way,Graniteville,SC,29829,6-8,604,803-663-4300,https://www.acpsd.net/LMMS,Dr. Tiffany Turner Hall,37.0,2019,Aiken County Public School District,Leavelle Mccampbell Middle School,M,29.9,33.0,26.5,36.4,43.2,,33.3,617.0,298.0,319.0,197.0,303.0,,0.0,423.0,117.0,no_result,no_result
Aiken County Public School District,New Ellenton Middle Steam Magnet School,201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,280,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,19.0,2018,Aiken County Public School District,New Ellenton Middle Steam Magnet School,M,47.9,21.2,35.8,23.0,63.6,,14.4,,,,,,,,,,33.4327747,-81.68584435000001
Aiken County Public School District,New Ellenton Middle Steam Magnet School,201010,M,"814 Main Street, South",New Ellenton,SC,29809,6-8,280,803-652-8200,www.acpsd.net/NEMS,Shunte Dugar,19.0,2019,Aiken County Public School District,New Ellenton Middle Steam Magnet School,M,43.1,22.1,36.5,22.7,59.5,,17.4,196.0,112.0,84.0,75.0,85.0,,0.0,138.0,36.0,33.4327747,-81.68584435000001
Aiken County Public School District,North Augusta Middle School,201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,597,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,33.0,2018,Aiken County Public School District,North Augusta Middle School,M,43.1,22.3,37.9,34.6,60.4,,16.1,,,,,,,,,,33.488933,-81.949885
Aiken County Public School District,North Augusta Middle School,201011,M,725 Old Edgefield Road,North Augusta,SC,29841,6-8,597,803-442-6200,https://www.acpsd.net/NAMS,Kimbra Meek,33.0,2019,Aiken County Public School District,North Augusta Middle School,M,47.5,21.1,37.0,32.8,63.0,,18.7,632.0,267.0,365.0,203.0,293.0,,0.0,335.0,136.0,33.488933,-81.949885
Aiken County Public School District,North Augusta High School,201012,H,2000 Knobcone Avenue,North Augusta,SC,29841,9-12,1573,803-442-6100,https://www.acpsd.net/Domain/23,John Murphy,86.0,0,,,,,,,,,,,,,,,,,,,,33.531523,-81.969827
Aiken County Public School District,Wagener-Salley High School,201015,H,272 Main Street (South),Wagener,SC,29164,9-12,268,803-564-1100,https://www.acpsd.net/Domain/24,Rasheem L. Neloms Sr.,23.0,0,,,,,,,,,,,,,,,,,,,,33.64758328918455,-81.36408610181032
Aiken County Public School District,Aiken Elementary School,201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,608,8036412740,http://www.acpsd.net/AES,Cindy Hewitt,48.0,2018,Aiken County Public School District,Aiken Elementary School,E,46.1,22.1,50.9,21.1,52.2,,18.4,,,,,,,,,,33.515548,-81.736273
Aiken County Public School District,Aiken Elementary School,201016,E,2050 Pine Log Road,Aiken,SC,29803,PK-5,608,8036412740,http://www.acpsd.net/AES,Cindy Hewitt,48.0,2019,Aiken County Public School District,Aiken Elementary School,E,53.8,23.8,54.6,18.8,55.6,,21.8,732.0,332.0,400.0,359.0,302.0,,0.0,500.0,71.0,33.515548,-81.736273
Aiken County Public School District,Kennedy Middle School,201017,M,274 E. Pine Log Road,Aiken,SC,29803,6-8,689,803-641-2470,www.acpsd.net/kms,Ryan Ashley,37.0,2018,Aiken County Public School District,Minnie B. Kennedy Middle School,M,47.6,22.5,42.7,25.6,59.5,,19.3,,,,,,,,,,33.525276904193596,-81.71460768864803
Aiken County Public School District,Kennedy Middle School,201017,M,274 E. Pine Log Road,Aiken,SC,29803,6-8,689,803-641-2470,www.acpsd.net/kms,Ryan Ashley,37.0,2019,Aiken County Public School District,Kennedy Middle School,M,47.3,22.1,44.0,28.9,60.1,,18.2,849.0,427.0,422.0,266.0,470.0,,0.0,414.0,113.0,33.525276904193596,-81.71460768864803
Aiken County Public School District,Belvedere Elementary School,201019,E,201 Rhomboid Place,Belvedere,SC,29841,PK-5,603,803-442-6330,https://www.acpsd.net/Domain/27,Allyson Long,41.0,2018,Aiken County Public School District,Belvedere Elementary,E,45.8,19.1,53.8,16.0,60.4,,5.2,,,,,,,,,,33.528387,-81.937927
Aiken County Public School District,Belvedere Elementary School,201019,E,201 Rhomboid Place,Belvedere,SC,29841,PK-5,603,803-442-6330,https://www.acpsd.net/Domain/27,Allyson Long,41.0,2019,Aiken County Public School District,Belvedere Elementary,E,55.4,12.6,63.9,14.1,67.1,,12.2,596.0,302.0,294.0,161.0,345.0,,0.0,380.0,90.0,33.528387,-81.937927
Aiken County Public School District,Byrd Elementary,201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,575,8036634320,https://www.acpsd.net/BYES,Renae W. Enlow,36.0,2018,Aiken County Public School District,Byrd Elementary,E,35.0,30.4,33.3,34.3,51.0,,16.6,,,,,,,,,,no_result,no_result
Aiken County Public School District,Byrd Elementary,201021,E,1225 Weldon Way,Graniteville,SC,29829,PK-5,575,8036634320,https://www.acpsd.net/BYES,Renae W. Enlow,36.0,2019,Aiken County Public School District,Byrd Elementary,E,44.9,27.7,40.4,23.0,57.3,,18.2,706.0,346.0,360.0,170.0,387.0,,0.0,448.0,149.0,no_result,no_result
Aiken County Public School District,J.D. Lever Elementary,201022,E,2404 Columbia Highway North,Aiken,SC,29805,PK-5,454,8036412760,https://www.acpsd.net/JDLES,Michael Truitt,37.0,2018,Aiken County Public School District,J.D. Lever Elementary School,E,30.7,40.2,34.3,41.8,33.8,,22.5,,,,,,,,,,33.644112625,-81.676152375
Aiken County Public School District,J.D. Lever Elementary,201022,E,2404 Columbia Highway North,Aiken,SC,29805,PK-5,454,8036412760,https://www.acpsd.net/JDLES,Michael Truitt,37.0,2019,Aiken County Public School District,J.D. Lever Elementary School,E,42.3,32.6,49.3,24.7,59.8,,17.2,536.0,273.0,263.0,187.0,273.0,,0.0,441.0,76.0,33.644112625,-81.676152375
Aiken County Public School District,Clearwater Elementary,201024,E,4522 Augusta Road,Beech Island,SC,29842,PK-5,374,803-593-7240,https://www.acpsd.net/CES,Eddie Watkins,32.0,2018,Aiken County Public School District,Clearwater Elementary School,E,28.6,35.0,24.8,43.7,22.1,,39.7,,,,,,,,,,no_result,no_result
Aiken County Public School District,Clearwater Elementary,201024,E,4522 Augusta Road,Beech Island,SC,29842,PK-5,374,803-593-7240,https://www.acpsd.net/CES,Eddie Watkins,32.0,2019,Aiken County Public School District,Clearwater Elementary,E,44.4,28.3,50.8,25.7,48.4,,21.9,431.0,192.0,239.0,134.0,134.0,,0.0,362.0,163.0,no_result,no_result
Aiken County Public School District,East Aiken School Of The Arts,201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,548,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,43.0,2018,Aiken County Public School District,East Aiken School Of The Arts,E,37.6,27.2,46.0,27.2,56.3,,17.2,,,,,,,,,,33.549399,-81.676056
Aiken County Public School District,East Aiken School Of The Arts,201027,E,223 Old Wagener Road,Aiken,SC,29801,PK-5,548,803-641-2450,https://www.acpsd.net/Domain/31,Lisa A. Fallaw,43.0,2019,Aiken County Public School District,East Aiken School Of The Arts,E,49.2,25.0,56.2,16.9,62.2,,15.6,591.0,294.0,297.0,277.0,244.0,,0.0,435.0,70.0,33.549399,-81.676056
Aiken County Public School District,Schofield Middle School,201028,M,224 Kershaw Street NE,Aiken,SC,29801,7-8,507,803 641-2770,https://www.acpsd.net/SMS,Scott N. Floyd,32.0,2018,Aiken County Public School District,Schofield Middle School,M,29.5,35.4,29.5,34.9,41.7,,29.8,,,,,,,,,,33.56210678954813,-81.71243804832794
Aiken County Public School District,Schofield Middle School,201028,M,224 Kershaw Street NE,Aiken,SC,29801,7-8,507,803 641-2770,https://www.acpsd.net/SMS,Scott N. Floyd,32.0,2019,Aiken County Public School District,Schofield Middle School,M,34.8,33.8,30.2,41.6,45.6,,31.3,533.0,271.0,262.0,320.0,146.0,,0.0,386.0,67.0,33.56210678954813,-81.71243804832794
Aiken County Public School District,Gloverville Elementary School,201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,309,803-593-7280,https://www.acpsd.net/GLES,S. Roxanne Hyer,26.0,2018,Aiken County Public School District,Gloverville Elementary School,E,43.3,22.4,52.2,22.4,52.5,,15.0,,,,,,,,,,no_result,no_result
Aiken County Public School District,Gloverville Elementary School,201029,E,114 Gloria Rush Circle,Gloverville,SC,29828,PK-5,309,803-593-7280,https://www.acpsd.net/GLES,S. Roxanne Hyer,26.0,2019,Aiken County Public School District,Gloverville Elementary School,E,44.4,24.5,46.4,23.8,74.0,,14.0,372.0,185.0,187.0,80.0,244.0,,0.0,291.0,48.0,no_result,no_result
Aiken County Public School District,Greendale Elementary,201030,E,505 South Boundary Ave.,New Ellenton,SC,29809,PK-5,378,803-652-8170,https://www.acpsd.net/Domain/33,Caroline Barker,30.0,2018,Aiken County Public School District,Greendale Elementary,E,36.0,29.1,32.0,34.3,36.8,,22.8,,,,,,,,,,33.40766088561273,-81.67881099993546
Aiken County Public School District,Greendale Elementary,201030,E,505 South Boundary Ave.,New Ellenton,SC,29809,PK-5,378,803-652-8170,https://www.acpsd.net/Domain/33,Caroline Barker,30.0,2019,Aiken County Public School District,Greendale Elementary,E,34.8,34.8,25.3,40.5,53.6,,14.3,402.0,193.0,209.0,147.0,167.0,,0.0,328.0,88.0,33.40766088561273,-81.67881099993546
Aiken County Public School District,Hammond Hill Elementary,201031,E,901 West Woodlawn Avenue,North Augusta,SC,29841,PK-5,655,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,44.0,2018,Aiken County Public School District,Hammond Hill Elementary,E,58.7,13.3,64.7,13.6,56.7,,13.3,,,,,,,,,,33.509864,-81.982751
Aiken County Public School District,Hammond Hill Elementary,201031,E,901 West Woodlawn Avenue,North Augusta,SC,29841,PK-5,655,803-442-6170,www.acpsd.net/hhes,Eric L. Jeffcoat,44.0,2019,Aiken County Public School District,Hammond Hill Elementary,E,59.9,17.7,64.9,13.3,73.0,,11.9,735.0,331.0,404.0,128.0,468.0,,0.0,390.0,139.0,33.509864,-81.982751
Aiken County Public School District,Jackson Magnet Middle School,201033,M,18731 Atomic Road,"Jackson, SC",SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,Perry F Smith Sr.,21.0,2018,Aiken County Public School District,Jackson Stem Middle School,M,36.4,29.6,28.3,34.3,43.5,,30.4,,,,,,,,,,33.3448235,-81.7959187
Aiken County Public School District,Jackson Magnet Middle School,201033,M,18731 Atomic Road,"Jackson, SC",SC,29831,6-8,374,803-471-2237,https://www.acpsd.net/Domain/9,Perry F Smith Sr.,21.0,2019,Aiken County Public School District,Jackson Stem Magnet Middle School,M,41.0,29.9,34.0,38.6,49.1,,25.9,344.0,162.0,182.0,130.0,184.0,,0.0,236.0,30.0,33.3448235,-81.7959187
Aiken County Public School District,Millbrook Elementary,201035,E,255 East Pine Log Road,Aiken,SC,29803,PK-5,614,803-641-2580,www.acpsd.net/MES,John Metts,39.0,2018,Aiken County Public School District,Millbrook Elementary,E,35.5,25.0,45.6,23.8,52.9,,17.2,,,,,,,,,,33.52539324256999,-81.71427846303648
Aiken County Public School District,Millbrook Elementary,201035,E,255 East Pine Log Road,Aiken,SC,29803,PK-5,614,803-641-2580,www.acpsd.net/MES,John Metts,39.0,2019,Aiken County Public School District,Millbrook Elementary,E,49.8,17.2,56.7,14.2,53.1,,14.1,552.0,249.0,303.0,203.0,265.0,,0.0,362.0,84.0,33.52539324256999,-81.71427846303648
Aiken County Public School District,North Aiken Elementary School,201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,450,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,35.0,2018,Aiken County Public School District,North Aiken Elementary School,E,19.6,43.6,33.5,36.3,22.4,,38.8,,,,,,,,,,33.580211,-81.6901
Aiken County Public School District,North Aiken Elementary School,201038,E,100 Bears Rock Road,Aiken,SC,29801,PK-5,450,803-641-2690,www.acpsd.neet/NAIES,Elisa Sanders-Pee,35.0,2019,Aiken County Public School District,North Aiken Elementary School,E,19.4,46.5,34.7,32.9,33.3,,42.4,448.0,219.0,229.0,366.0,42.0,,0.0,408.0,40.0,33.580211,-81.6901
Aiken County Public School District,North Augusta Elementary School,201039,E,400 East Spring Grove Avenue,North Augusta,SC,29841,PK-5,644,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,46.0,2018,Aiken County Public School District,North Augusta Elementary School,E,51.7,16.9,57.4,20.5,49.0,,23.5,,,,,,,,,,33.494238,-81.967952
Aiken County Public School District,North Augusta Elementary School,201039,E,400 East Spring Grove Avenue,North Augusta,SC,29841,PK-5,644,803-442-6280,https://www.acpsd.net/NAUES,Patricia Wilson,46.0,2019,Aiken County Public School District,North Augusta Elementary,E,55.9,14.8,60.6,14.8,61.1,,16.7,651.0,317.0,334.0,214.0,297.0,,0.0,399.0,140.0,33.494238,-81.967952
Aiken County Public School District,Cyril B. Busbee Elementary School,201051,E,20 A. L. Corbett Circle,Wagener,SC,29164,PK-5,451,803-564-1000,https://www.acpsd.net/BUSBEE ,Sonya Colvin,28.0,2019,Aiken County Public School District,Cyril B. Busbee Elementary School,E,38.7,34.0,44.3,26.3,50.0,,21.9,464.0,233.0,231.0,210.0,215.0,,0.0,394.0,39.0,33.66027623066923,-81.36395799920031
Aiken County Public School District,Warrenville Elementary,201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,327,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,29.0,2018,Aiken County Public School District,Warrenville Elementary,E,34.0,31.2,38.6,36.7,41.0,,24.4,,,,,,,,,,33.5363042,-81.7960324
Aiken County Public School District,Warrenville Elementary,201052,E,569 Howlandville Road,Warrenville,SC,29851,PK-5,327,803-663-4270,https://www.acpsd.net/WES,Charlene Heard,29.0,2019,Aiken County Public School District,Warrenville Elementary,E,43.3,28.4,45.8,27.9,56.1,,18.2,460.0,218.0,242.0,131.0,254.0,,0.0,349.0,75.0,33.5363042,-81.7960324
Aiken County Public School District,Oakwood-Windsor Elementary,201054,E,3773 Charleston Highway,Aiken,SC,29803,PK-5,402,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,30.0,2018,Aiken County Public School District,Oakwood Windsor Elementary,E,23.7,35.5,21.9,45.6,31.3,,28.4,,,,,,,,,,33.51423382873407,-81.57541220408888
Aiken County Public School District,Oakwood-Windsor Elementary,201054,E,3773 Charleston Highway,Aiken,SC,29803,PK-5,402,803-641-2560,https://www.acpsd.net/OWES,Davina Truitt,30.0,2019,Aiken County Public School District,Oakwood Windsor Elementary,E,39.2,32.2,34.5,39.2,38.5,,34.6,393.0,187.0,206.0,75.0,189.0,,0.0,339.0,129.0,33.51423382873407,-81.57541220408888
Aiken County Public School District,Redcliffe Elementary School,201055,E,22 Double Springs Road,Aiken,SC,29803,PK-5,633,803-827-3350,https://www.acpsd.net/Page/78#calendar42/20210624 /month,Terra van der Linden,44.0,2018,Aiken County Public School District,Redcliffe Elementary School,E,37.0,27.4,44.9,24.1,48.0,,16.3,,,,,,,,,,no_result,no_result
Aiken County Public School District,Redcliffe Elementary School,201055,E,22 Double Springs Road,Aiken,SC,29803,PK-5,633,803-827-3350,https://www.acpsd.net/Page/78#calendar42/20210624 /month,Terra van der Linden,44.0,2019,Aiken County Public School District,Redcliffe Elementary,E,44.2,27.1,50.1,19.2,52.7,,24.5,756.0,375.0,381.0,315.0,364.0,,0.0,582.0,77.0,no_result,no_result
Aiken County Public School District,Chukker Creek Elementary School,201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,662,803-641-2474,www.acpsd.net/CCES,Sara-Beth Brown,48.0,2018,Aiken County Public School District,Chukker Creek Elementary,E,61.3,12.4,62.6,14.5,68.0,,10.4,,,,,,,,,,33.480586840418844,-81.71442715121182
Aiken County Public School District,Chukker Creek Elementary School,201056,E,1830 Chukker Creek Road,Aiken,SC,29803,PK-5,662,803-641-2474,www.acpsd.net/CCES,Sara-Beth Brown,48.0,2019,Aiken County Public School District,Chukker Creek Elementary,E,62.3,17.9,64.6,16.9,73.9,,11.9,777.0,381.0,396.0,205.0,488.0,,0.0,350.0,84.0,33.480586840418844,-81.71442715121182
Aiken County Public School District,Mossy Creek Elementary School,201058,E,421 West Five Notch Road,North Augusta,SC,29841,PK-5,598,803-442-6090,https://www.acpsd.net/MCES,Jeffery A Matthews,44.0,2018,Aiken County Public School District,Mossy Creek  Elementary School,E,44.7,23.4,49.5,25.1,58.7,,16.3,,,,,,,,,,no_result,no_result
Aiken County Public School District,Mossy Creek Elementary School,201058,E,421 West Five Notch Road,North Augusta,SC,29841,PK-5,598,803-442-6090,https://www.acpsd.net/MCES,Jeffery A Matthews,44.0,2019,Aiken County Public School District,Mossy Creek Elementary,E,46.3,23.5,50.5,24.4,51.9,,23.6,694.0,309.0,385.0,259.0,316.0,,0.0,507.0,119.0,no_result,no_result
Aiken County Public School District,Ridge Spring-Monetta Elementary School,201059,E,1081 Trojan Rd.,"Monetta, SC",SC,29105,PK-5,342,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,29.0,2018,Aiken County Public School District,Ridge Spring-Monetta Elementary School,E,21.4,39.6,30.5,40.6,44.8,,27.6,,,,,,,,,,no_result,no_result
Aiken County Public School District,Ridge Spring-Monetta Elementary School,201059,E,1081 Trojan Rd.,"Monetta, SC",SC,29105,PK-5,342,803-685-2000,https://www.acpsd.net/Domain/43,Callie A. Herlong,29.0,2019,Aiken County Public School District,Ridge Spring-Monetta Elementary School,E,28.4,46.0,26.7,43.8,28.8,,39.4,381.0,193.0,188.0,130.0,157.0,,0.0,340.0,94.0,no_result,no_result
Aiken County Public School District,Ridge Spring-Monetta High School,201060,H,1071 Trojan Rd.,Monetta,SC,29105,9-12,258,(803)685-2100,https://www.acpsd.net/Domain/17,Dr. KaRon L. Webb,20.0,2018,Aiken County Public School District,Ridge Spring-Monetta Middle/High School,M,16.6,46.4,9.9,59.1,18.1,,53.4,,,,,,,,,,no_result,no_result
Aiken County Public School District,Aiken Scholars Academy,201061,H,471 University Parkway,Aiken,SC,29801,9-12,135,803-306-1400,https://www.acpsd.net/Domain/45,Martha Messick,6.0,0,,,,,,,,,,,,,,,,,,,,33.573428199999995,-81.76602664178856
