district_id,district_alt,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,percent_pov_given,all_other_races,percent_female,percent_male,percent_gender_missing,percent_black_aa,percent_white,percent_all_other_races,percent_in_poverty,report_card_year,district,school,report_card_type_p_e_m_h_d,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,supername,chair,teacher_count
619999,Barnwell 19,551,256,295,0.0,443,74,509.0,2021,,34,46.46098003629764,53.53901996370236,0.0,80.39927404718694,13.430127041742288,6.170598911070781,92.37749546279493,2021.0,Barnwell School District 19,Barnwell School District 19,D,446 Country Club Road,Blackville,SC,29817.0,PK-12,565.0,803-284-5605,www.barnwell19.k12.sc.us,David W. Corder,David W. Corder,Karen Jowers,34.0
629999,Barnwell 29,770,387,383,0.0,462,254,605.0,2021,,54,50.25974025974026,49.74025974025974,0.0,60.0,32.98701298701299,7.012987012987012,78.57142857142857,2021.0,Williston School District (Barnwell 29),Williston School District (Barnwell 29),D,12255 Main Street,Williston,SC,29853.0,PK-12,802.0,8032667878,www.williston.k12.sc.us,Dr. Marcella Shaw,Dr. Marcella Shaw,Ronald Brown,58.0
645999,Barnwell 45,2021,972,1049,0.0,955,862,1588.0,2021,,204,48.09500247402276,51.90499752597724,0.0,47.25383473527957,42.65215239980208,10.094012864918357,78.57496288965858,2021.0,Barnwell School District 45,Barnwell School District 45,D,770 Hagood Avenue,Barnwell,SC,29812.0,PK-12,2038.0,803-541-1300,https://www.barnwell45.org/,Crystal Stapleton,Crystal Stapleton,Rosey Anderson,137.0
701999,Beaufort 01,21071,10236,10835,0.0,5360,8052,12174.0,2021,,7659,48.57861515827441,51.42138484172559,0.0,25.43780551468843,38.21365858288643,36.348535902425134,57.776090361159895,2021.0,Beaufort County School District,Beaufort County School District,D,PO Drawer 309,Beaufort,SC,29901.0,PK-12,21219.0,843-322-2300,http://beaufortschools.net/,Dr. Frank Rodriguez,Dr. Frank Rodriguez,Dr. Christina Gwozdz,1710.0
801999,Berkeley 01,36304,17594,18710,0.0,10163,17274,20818.0,2021,,8867,48.46297928602909,51.53702071397092,0.0,27.99416042309388,47.58153371529308,24.42430586161305,57.34354341119436,2021.0,Berkeley County School District,Berkeley County School District,D,107 East Main Street,Moncks Corner,SC,29461.0,PK-12,36575.0,843-899-8600,http://www.bcsdschools.net/,Dr. Eddie Ingram,Dr. Eddie Ingram,Mr. David Barrow,2293.0
901999,Calhoun 01,1580,761,819,0.0,904,532,1246.0,2021,,144,48.16455696202532,51.83544303797469,0.0,57.21518987341773,33.67088607594937,9.113924050632912,78.86075949367088,2021.0,Calhoun County Schools,Calhoun County Schools,D,125 Herlong Avenue,Saint Matthews,SC,29135.0,PK-12,1590.0,8036557310,ccpsonline.net,Dr. Steve Aaron Wilson,Dr. Steve Aaron Wilson,Gary Porth,119.0
1001999,Charleston 01,48176,23733,24443,0.0,16382,23653,24534.0,2021,,8077,49.26311856526071,50.73688143473929,0.0,34.00448356027898,49.097060777150446,16.765609432082364,50.92577216871471,2021.0,Charleston County School District,Charleston County School District,D,75 Calhoun Street,Charleston,SC,29401.0,PK-12,48330.0,843-937-6300,https://www.ccsdschools.com/,Dr. Gerrita Postlewait,Dr. Gerrita Postlewait,Rev. Dr. Eric Mack,3651.0
1101999,Cherokee 01,7778,3804,3974,0.0,2064,4771,5735.0,2021,,943,48.90717408074055,51.092825919259454,0.0,26.53638467472358,61.33967600925688,12.123939316019545,73.7336076112111,2021.0,Cherokee County School District 1,Cherokee County School District 1,D,141 Twin Lake Road,Gaffney,SC,29341.0,PK-12,7882.0,864-206-2201,www.cherokee1.org/home,Dr. Dana Fall,Dr. Dana Fall,Mr. Johnny Sarratt,589.0
1201999,Chester 01,4796,2323,2473,0.0,2183,2127,3793.0,2021,,486,48.43619683069224,51.56380316930776,0.0,45.51709758131777,44.34945788156797,10.133444537114263,79.08673894912427,2021.0,Chester County School District,Chester County School District,D,509 District Office Drive,Chester,SC,29706.0,PK-12,4860.0,803-581-9500,https://www.chester.k12.sc.us/,Dr. Antwon Sutton,Dr. Antwon Sutton,Mr. Doug Shannon,370.0
1301999,Chesterfield 01,6824,3338,3486,0.0,2532,3302,5119.0,2021,,990,48.91559202813599,51.08440797186401,0.0,37.10433763188746,48.38804220398593,14.50762016412661,75.01465416178195,2021.0,Chesterfield County School District,Chesterfield County School District,D,401 West Blvd,Chesterfield,SC,29709.0,PK-12,6772.0,843-623-2175,https://www.chesterfieldschools.org,J. Harrison Goodwin,J. Harrison Goodwin,Wesley R. Miles,478.0
1401999,Clarendon 01,670,334,336,0.0,608,35,619.0,2021,,27,49.85074626865672,50.14925373134328,0.0,90.74626865671642,5.223880597014925,4.029850746268656,92.38805970149254,2021.0,Clarendon 1,Clarendon 1,D,PO Box 38 12 South Church Street,Summerton,SC,29148.0,PK-12,654.0,8034852325,,Barbara Ragin Champagne,Barbara Ragin Champagne,Tony Junious,46.0
1402999,Clarendon 02,2604,1287,1317,0.0,1616,704,2261.0,2021,,284,49.42396313364056,50.576036866359445,0.0,62.0583717357911,27.03533026113672,10.906298003072196,86.82795698924731,2021.0,Clarendon School District Two,Clarendon School District Two,D,15 Major Drive,Manning,SC,29102.0,PK-12,2604.0,803-435-4435,http://www.clarendon2.k12.sc.us,Dr. Shawn Johnson,Dr. Shawn Johnson,Ethel W. Sweat,150.0
1403999,Clarendon 03,1239,606,633,0.0,274,877,768.0,2021,,88,48.91041162227603,51.08958837772397,0.0,22.114608555286523,70.78288942695721,7.102502017756256,61.98547215496368,2021.0,Clarendon 3,Clarendon 3,D,1177 Atkinson Street P.O. Drawer 270,TURBEVILLE,SC,29162.0,PK-12,1236.0,8436592188,clarendon3.org,"Connie J. Dennis, Ph.D.","Connie J. Dennis, Ph.D.",Jason Newsome,78.0
1501999,Colleton 01,5075,2538,2537,0.0,2437,2003,4278.0,2021,,635,50.009852216748776,49.99014778325123,0.0,48.01970443349754,39.4679802955665,12.51231527093596,84.29556650246306,2021.0,Colleton County School District,Colleton County School District,D,500 Forest Circle,WALTERBORO,SC,29488.0,PK-12,5138.0,8437824510,www.colleton.k12.sc.us,Mr. John Tidal,Mr. John Tidal,Patricia Simmons,325.0
1601999,Darlington 01,9206,4549,4657,0.0,4605,3286,7271.0,2021,,1315,49.41342602650445,50.58657397349554,0.0,50.02172496198132,35.69411253530306,14.28416250271562,78.98109928307625,2021.0,Darlington County School District,Darlington County School District,D,120 E Smith Avenue,Darlington,SC,29532.0,PK-12,9239.0,843-398-5100,www.darlington.k12.sc.us,Dr. Timothy Newman,Dr. Timothy Newman,Warren Jeffords,660.0
1703999,Dillon 03,1499,724,775,0.0,486,861,1068.0,2021,,152,48.29886591060707,51.70113408939293,0.0,32.421614409606406,57.43829219479654,10.140093395597065,71.24749833222148,2021.0,Dillon School District Three,Dillon School District Three,D,205 King Street,Lattta,SC,29565.0,PK-12,1546.0,843-752-7101,www.dillon3.k12.sc.us,"Dr John M. Kirby, Jr.","Dr John M. Kirby, Jr.",Kyle Berry,77.0
1704999,Dillon 04,3862,1870,1992,0.0,2315,991,3571.0,2021,,556,48.42050750906266,51.57949249093734,0.0,59.94303469704816,25.660279647850853,14.396685655100985,92.4650440186432,2021.0,Dillon School District Four,Dillon School District Four,D,1738 Highway 301 North,Dillon,SC,29536.0,PK-12,3901.0,843-774-1200,www.dillon.k12.sc.us,D. Ray Rogers,D. Ray Rogers,"Earl Gleason, Jr.",236.0
1802999,Dorchester 02,24473,11922,12551,0.0,7060,12501,12770.0,2021,,4912,48.71491030932047,51.28508969067952,0.0,28.84811833449108,51.08078290360806,20.07109876190087,52.17995341805255,2021.0,Dorchester School District Two,Dorchester School District Two,D,115 Devon Road,Summerville,SC,29483.0,PK-12,24684.0,843-873-2901,https://www.ddtwo.org,Joseph R. Pye,Joseph R. Pye,Tanya Robinson/Gail Hughes,1596.0
1804999,Dorchester 04,2093,986,1106,1.0,990,848,1595.0,2021,,255,47.10941232680363,52.84280936454849,0.0477783086478738,47.300525561395126,40.51600573339704,12.183468705207837,76.2064022933588,2021.0,Dorchester District Four,Dorchester District Four,D,500 Ridge St.,St. George,SC,29477.0,PK-12,2101.0,843-563-4535,https://www.dorchester4.k12.sc.us/home,Dr. Kelvin Wymbs,Dr. Kelvin Wymbs,Mrs. Phyllis Hughes,154.0
1901999,Edgefield 01,3194,1594,1600,0.0,1213,1518,2052.0,2021,,463,49.906073888541016,50.09392611145898,0.0,37.97745773324984,47.52661239824671,14.495929868503444,64.24546023794615,2021.0,Edgefield County School District,Edgefield County School District,D,3 Par Drive,Johnston,SC,29832.0,PK-12,3207.0,803-275-4601,https://ecsd.edgefield.k12.sc.us/,Dr. Kevin L. O’Gorman,Dr. Kevin L. O’Gorman,Mrs. Robin Ball,249.0
2001999,Fairfield 01,2400,1182,1218,0.0,2044,237,2113.0,2021,,119,49.25,50.74999999999999,0.0,85.16666666666667,9.875,4.958333333333333,88.04166666666666,2021.0,Fairfield County School District,Fairfield County School District,D,1226 US Highway 321 By-Pass south,Winnsboro,SC,29180.0,PK-12,2414.0,803-635-4607,https://www.fairfield1.org/,Dr. J.R. Green,Dr. J.R. Green,Henry Miller,255.0
2101999,Florence 01,14988,7466,7522,0.0,7895,5024,10331.0,2021,,2069,49.81318388043768,50.18681611956232,0.0,52.67547371230318,33.520149452895645,13.804376834801174,68.92847611422471,2021.0,Florence One Schools,Florence One Schools,D,319 South Irby Street,Florence,SC,29501.0,PK-12,15186.0,843-669-4141,www.f1s.org,Richard O'Malley,Richard O'Malley,Porter Stewart,1165.0
2102999,Florence 02,1091,527,564,0.0,391,603,757.0,2021,,97,48.30430797433547,51.69569202566453,0.0,35.83868010999083,55.27039413382218,8.890925756186984,69.38588450962419,2021.0,Florence County School District 2,Florence County School District 2,D,2121 South Pamplico Highway,Pamplico,SC,29583.0,PK-12,1094.0,843-493-2502,https://www.fsd2.org/,"Neal Vincent, Ed.D.","Neal Vincent, Ed.D.",Mr. Robert Singletary,71.0
2103999,Florence 03,3230,1654,1576,0.0,2078,874,2884.0,2021,,278,51.20743034055728,48.79256965944273,0.0,64.3343653250774,27.058823529411764,8.606811145510836,89.28792569659443,2021.0,Florence School District Three,Florence School District Three,D,125 S. Blanding St,Lake City,SC,29560.0,PK-12,3263.0,843-374-8652,125 S. Blanding St,Dr. Laura Hickson,Dr. Laura Hickson,Barbara Bryant,232.0
2104999,Florence 04,672,321,351,0.0,558,43,621.0,2021,,71,47.767857142857146,52.23214285714286,0.0,83.03571428571429,6.398809523809524,10.56547619047619,92.41071428571428,2021.0,Florence 4,Florence 4,D,304 Kemper Street  ,Timmonsville,SC,29161.0,PK-12,681.0,843-346-3956,www.florence4.k12.sc.us,Dan Strickland,Teresa Gamble - Executive District Administrator,Lille Joe,43.0
2105999,Florence 05,1174,570,604,0.0,342,749,858.0,2021,,83,48.55195911413969,51.4480408858603,0.0,29.13117546848381,63.79897785349233,7.0698466780238505,73.08347529812606,2021.0,Florence School District Five,Florence School District Five,D,156 East Marion Street,Johnsonville,SC,29555.0,PK-12,1180.0,843-386-2358,https://www.fsd5.org/,Randy Smiley,Randy Smiley,Faith Truesdale,86.0
2201999,Georgetown 01,8366,4045,4321,0.0,3648,3979,5817.0,2021,,739,48.3504661726034,51.64953382739661,0.0,43.60506813291896,47.56155868993545,8.83337317714559,69.53143676786995,2021.0,Georgetown County School District,Georgetown County School District,D,2018 Church Street,Georgetown,SC,29440.0,PK-12,8479.0,843-436-7000,www.gcsd.k12.sc.us,Mr. Keith Price,Mr. Keith Price,Mr. Jim Dumm,645.0
2301999,Greenville 01,73724,35964,37760,0.0,16889,37701,44445.0,2021,,19134,48.78194346481472,51.21805653518528,0.0,22.908415170093864,51.13802832184906,25.95355650805708,60.28566002929846,2021.0,The School District Of Greenville County,The School District Of Greenville County,D,301 E. Camperdown Way,Greenville,SC,29601.0,PK-12,74094.0,864-355-3100,www.greenville.k12.sc.us,"W. Burke Royster, PhD","W. Burke Royster, PhD",Lynda Leventis-Wells,5032.0
2450999,Greenwood 50,8539,4224,4315,0.0,3623,3253,6285.0,2021,,1663,49.46715072022485,50.53284927977515,0.0,42.42885583792013,38.09579576062771,19.475348401452163,73.60346644806184,2021.0,Greenwood School District 50,Greenwood School District 50,D,1855 Calhoun Road,Greenwood,SC,29649.0,PK-12,8646.0,864-941-5400,www.gwd50.org,Dr. Steve Glenn,Dr. Steve Glenn,Ken Cobb,614.0
2451999,Greenwood 51,910,433,477,0.0,136,662,677.0,2021,,112,47.58241758241758,52.41758241758242,0.0,14.945054945054943,72.74725274725274,12.307692307692308,74.3956043956044,2021.0,Ware Shoals School District 51,Ware Shoals School District 51,D,56 S Greenwood Ave,Ware Shoals,SC,29692.0,PK-12,934.0,8644567496,www.gwd51.org,Dr. Fay Sprouse,Dr. Fay Sprouse,Mr. Shanon Calvert,66.0
2452999,Greenwood 52,1485,714,771,0.0,332,1043,958.0,2021,,110,48.08080808080808,51.91919191919192,0.0,22.35690235690236,70.23569023569024,7.4074074074074066,64.51178451178451,2021.0,Greenwood School District 52,Greenwood School District 52,D,605 Johnston Road,Ninety Six,SC,29666.0,PK-12,1492.0,864-543-3100,www.greenwood52.org,Dr. Rex S. Ward,Dr. Rex S. Ward,Mr. Jeff Chapman,104.0
2501999,Hampton 01,1936,946,990,0.0,1072,734,1522.0,2021,,130,48.86363636363637,51.13636363636363,0.0,55.371900826446286,37.913223140495866,6.714876033057851,78.61570247933885,2021.0,Hampton District One,Hampton District One,D,372 E Pine Street,Varnville,SC,29944.0,PK-12,1948.0,803-943-4576,www.hampton1.org,Dr. Ronald Wilcox,Dr. Ronald Wilcox,"Phillip Strother, Sr.",142.0
2502999,Hampton 02,628,314,314,0.0,589,11,574.0,2021,,28,50.0,50.0,0.0,93.78980891719743,1.751592356687898,4.45859872611465,91.40127388535032,2021.0,Hampton 2,Hampton 2,D,,,,,PK-12,645.0,,,,,,47.0
2601999,Horry 01,43984,21372,22612,0.0,7903,26298,28165.0,2021,,9782,48.59039650782103,51.40960349217898,0.0,17.967897417242636,59.789923608584935,22.239905420152784,64.03464896325937,2021.0,Horry County Schools,Horry County Schools,D,335 Four Mile Road,Conway,SC,29577.0,PK-12,44479.0,843-488-6700,www.horrycountyschools.net,Dr. Rick Maxey,Dr. Rick Maxey,Ken Richardson,3113.0
2701999,Jasper 01,2679,1296,1383,0.0,1390,203,2241.0,2021,,1086,48.37625979843225,51.62374020156775,0.0,51.88503172825681,7.57745427398283,40.53751399776037,83.65061590145577,2021.0,Jasper County School District,Jasper County School District,D,10942 N. Jacob Smart Blvd.,Ridgeland,SC,29936.0,PK-12,2664.0,843-489-8892,www.jcsd.net,Dr. Rechel Anderson,Dr. Rechel Anderson,Carolyn Bolden,169.0
2801999,Kershaw 01,10653,5175,5478,0.0,2734,6191,6573.0,2021,,1728,48.57786539003098,51.42213460996903,0.0,25.66413216934197,58.11508495259551,16.22078287806252,61.70092931568573,2021.0,Kershaw County School District,Kershaw County School District,D,2029 West DeKalb Street,Camden,SC,29020.0,PK-12,10763.0,803-432-8416,www.kcsdschools.net,Dr. Shane Robbins,Dr. Shane Robbins,Dr. James P. Smith,684.0
2901999,Lancaster 01,13942,6813,7129,0.0,3627,7940,7398.0,2021,,2375,48.86673361067279,51.13326638932721,0.0,26.01491894993545,56.95022234973462,17.034858700329938,53.06268828001721,2021.0,Lancaster,Lancaster,D,300 South Catawba Street,Lancaster,SC,29720.0,PK-12,13940.0,8032894885,www.lancastercsd.com,Jonathan Phipps,Jonathan Phipps,Robert Parker,904.0
3055999,Laurens 55,5265,2572,2693,0.0,1546,2717,3980.0,2021,,1002,48.85090218423552,51.14909781576448,0.0,29.36372269705604,51.60493827160494,19.03133903133903,75.59354226020892,2021.0,Laurens County School District 55,Laurens County School District 55,D,301 Hillcrest Drive,Laurens,SC,29360.0,PK-12,5333.0,864-984-3568,www.laurens55.org,Dr. Ameca Thomas,Dr. Ameca Thomas,Mrs. Cathy Little,388.0
3056999,Laurens 56,2786,1376,1410,0.0,1050,1401,2171.0,2021,,335,49.38980617372577,50.61019382627423,0.0,37.68844221105528,50.28715003589376,12.02440775305097,77.92534099066762,2021.0,Laurens County School District 56,Laurens County School District 56,D,211 N. Broad Street Suite B,Clinton,SC,29325.0,PK-12,2827.0,864-833-0800,https://www.lcsd56.org/,Dr. David C. O'Shields,Dr. David C. O'Shields,Jim Barton,194.0
3101999,Lee 01,1549,747,802,0.0,1386,103,1428.0,2021,,53,48.224661071659135,51.77533892834087,0.0,89.47708198837961,6.649451258876694,3.42156229825694,92.1885087153002,2021.0,Lee County School District,Lee County School District,D,310 Roland Street,"Bishopville, South Carolina",SC,29010.0,PK-12,1565.0,803-484-5327,www.leeschoolsk12.org,"Bernard McDaniel, Sr.","Bernard McDaniel, Sr.",Ms. Sylvia Scott,85.0
3201999,Lexington 01,26960,13237,13723,0.0,3429,18857,12189.0,2021,,4674,49.0986646884273,50.9013353115727,0.0,12.718842729970326,69.94436201780415,17.33679525222552,45.211424332344215,2021.0,Lexington County School District One,Lexington County School District One,D,100 Tarrar Springs Road NA,Lexington,SC,29072.0,PK-12,27072.0,803-821-1000,http://www.lexdistrict1.com/,Dr. Gregory Little,Dr. Gregory Little,Anne Marie Green,1959.0
3202999,Lexington 02,8525,4055,4470,0.0,2702,3156,6461.0,2021,,2667,47.56598240469208,52.43401759530792,0.0,31.6950146627566,37.02052785923753,31.284457478005866,75.78885630498534,2021.0,Lexington School District Two,Lexington School District Two,D,715 Ninth Street,West Columbia,SC,29169.0,PK-12,8582.0,803-796-4708,www.lex2.org,Dr. Nicolas Wade,Dr. Nicolas Wade,Christina Rucker,636.0
3203999,Lexington 03,2035,1014,1021,0.0,626,1047,1463.0,2021,,362,49.82800982800983,50.171990171990174,0.0,30.76167076167076,51.44963144963145,17.78869778869779,71.89189189189189,2021.0,Lexington County School District Three,Lexington County School District Three,D,338 West Columbia Avenue,Batesburg-Leesville,SC,29006.0,PK-12,2020.0,(803)532-4423,www.lex3.org,Dr. Ashley Atkinson,Dr. Ashley Atkinson,Craig Caughman,160.0
3204999,Lexington 04,3300,1563,1737,0.0,627,1783,2660.0,2021,,890,47.36363636363636,52.63636363636364,0.0,19.0,54.03030303030303,26.96969696969697,80.60606060606061,2021.0,Lexington School District Four,Lexington School District Four,D,607 East Fifth Street,Swansea,SC,29160.0,PK-12,3245.0,803-490-7000,https://www.lex4.org,"Robert Maddox, Jr., Ed. D.","Robert Maddox, Jr., Ed. D.",Brad Frick,224.0
3205999,Lexington 05,16827,8275,8552,0.0,4784,9369,7375.0,2021,,2674,49.17691804837464,50.82308195162536,0.0,28.430498603434955,55.67837404171867,15.891127354846375,43.82837107030368,2021.0,School District Five Of Lexington & Richland Count,School District Five Of Lexington & Richland Count,D,1020 Dutch Fork Rd.,Irmo,SC,29036.0,PK-12,16780.0,803-476-8000,https://www.lexrich5.org/,Dr. Christina S. Melton,Dr. Christina S. Melton,Mrs. Jan Hammond,1332.0
3301999,McCormick 01,666,329,337,0.0,511,124,556.0,2021,,31,49.3993993993994,50.6006006006006,0.0,76.72672672672672,18.61861861861862,4.654654654654655,83.48348348348348,2021.0,Mccormick County School District,Mccormick County School District,D,821 North Mine Street,McCormick,SC,29835.0,PK-12,657.0,8648520639,http://mccormick.k12.sc.us,Dr. Jaime Hembree,Dr. Jaime Hembree,Verteema Chiles,51.0
3410999,Marion 10,4087,2017,2070,0.0,3136,650,3712.0,2021,,301,49.35160264252508,50.64839735747492,0.0,76.73109860533398,15.904086126743334,7.364815267922682,90.82456569610962,2021.0,Marion County School District,Marion County School District,D,719 N Main Street,Marion,SC,29571.0,PK-12,4150.0,843-423-1811,https://www.marion.k12.sc.us/,Dr. Kandace Bethea,Dr. Kandace Bethea,Ogleretta White,301.0
3501999,Marlboro 01,3615,1752,1863,0.0,2121,1033,3093.0,2021,,461,48.46473029045643,51.53526970954356,0.0,58.672199170124486,28.575380359612723,12.752420470262791,85.56016597510373,2021.0,Marlboro County School District,Marlboro County School District,D,122 Broad Street,Bennettsville,SC,29512.0,PK-12,3667.0,8434794016,http://www.marlboro.k12.sc.us/,Dr. Gregory McCord,Dr. Gregory McCord,Larry McNeil,218.0
3601999,Newberry 01,5705,2806,2899,0.0,1923,2541,4072.0,2021,,1241,49.18492550394391,50.81507449605609,0.0,33.707274320771255,44.5398773006135,21.75284837861525,71.37598597721298,2021.0,School District Of Newberry County,School District Of Newberry County,D,3419 Main Street,Newberry,SC,29108.0,PK-12,5760.0,8039248200,www.newberry.k12.sc.us,Jim Suber,Jim Suber,Lucy Ann Meetze,447.0
3701999,Oconee 01,10105,4944,5161,0.0,980,7464,6505.0,2021,,1661,48.92627412172192,51.07372587827808,0.0,9.698169223156851,73.86442355269669,16.43740722414646,64.37407224146462,2021.0,School District Of Oconee County,School District Of Oconee County,D,414 S. Pine St.,Walhalla,SC,29691.0,PK-12,10168.0,864-886-4400,https://www.sdoc.org/,Dr. Michael Thorsland,Dr. Michael Thorsland,Denise McCormick,777.0
3809999,Orangeburg,11680,5780,5900,0.0,8865,1987,10009.0,2021,,828,49.48630136986301,50.513698630136986,0.0,75.89897260273972,17.011986301369863,7.089041095890411,85.69349315068493,2021.0,Orangeburg County School District,Orangeburg County School District,D,102 Founders Court,Orangeburg,SC,29118.0,PK-12,11739.0,803-534-5454,www.ocsdsc.org,Dr. Shawn Foster,Dr. Shawn Foster,Ruby Edwards,743.0
3901999,Pickens 01,15685,7588,8097,0.0,1061,12047,9487.0,2021,,2577,48.37743066624164,51.62256933375837,0.0,6.764424609499523,76.80586547656996,16.429709913930505,60.48453936882372,2021.0,School District Of Pickens County,School District Of Pickens County,D,1348 Griffin Mill Road,Easley,SC,29640.0,PK-12,15689.0,(864) 397-1000,http://www.pickens.k12.sc.us/,Dr. Daniel B. Merck,Dr. Daniel B. Merck,Mr. Shannon Haskett,1009.0
4001999,Richland 01,22097,10913,11184,0.0,15556,3845,17085.0,2021,,2696,49.38679458750057,50.61320541249943,0.0,70.39869665565462,17.400552111146308,12.200751233199076,77.31818798931982,2021.0,Richland School District One,Richland School District One,D,1616 Richland Street,Columbia,SC,29201.0,PK-12,22202.0,8032317000,www.richlandone.org,Dr. Craig Witherspoon,Dr. Craig Witherspoon,Mr. Aaron Bishop,1922.0
4002999,Richland 02,27929,13886,14043,0.0,17040,5194,15911.0,2021,,5695,49.71893014429446,50.28106985570554,0.0,61.01185148053994,18.5971570768735,20.39099144258656,56.969458269182574,2021.0,Richland School District Two,Richland School District Two,D,763 Fashion Drive,Columbia,SC,29229.0,PK-12,27761.0,803-787-1910,www.richland2.org,Dr. Baron R. Davis,Dr. Baron R. Davis,Mr. James Manning,1960.0
4101999,Saluda 01,2295,1081,1214,0.0,491,776,1742.0,2021,,1028,47.10239651416122,52.89760348583879,0.0,21.394335511982568,33.812636165577345,44.79302832244009,75.9041394335512,2021.0,Saluda,Saluda,D,404 North Wise Road,Saluda,SC,29138.0,PK-12,2315.0,,,Dr. Harvey Livingston,Dr. Harvey Livingston,Dr. Kathy Coleman,154.0
